,Review Text,Review,Recommends
24,Food was Assum Burger too good Arabian master will be the Master of all shop in old Town inshAllah,খাবার ছিল অসম বার্গার খুব ভাল আরবীয় মাস্টার হবেন পুরানো টাউন ইনশাল্লাহর সমস্ত দোকানের মাস্টার,
25,visit there frequently. almost like regular customer �. food quality is good and environment is also good. tested their pizza and set menu. totally trustworthy.... �,ঘন ঘন সেখানে যান। প্রায় নিয়মিত গ্রাহকের মতো � খাবারের মান ভাল এবং পরিবেশও ভাল। তাদের পিজা এবং সেট মেনু পরীক্ষা করে। সম্পূর্ণ বিশ্বাসযোগ্য .... �,
26,environment is better than any other restaurant in lalbagh. service is goood. bcz they give unlimited change evry time. you can try...,লালবাগের অন্যান্য রেস্তোঁরাগুলির তুলনায় পরিবেশ ভাল। সেবা ভাল। বিসিজেড তারা সীমাহীন পরিবর্তন এড়ানোর সময় দেয়। আপনি চেষ্টা করতে পারেন...,
27,Nice and friendly environment.. Good food.. Set menus are best in my opinion. Keep it up.,সুন্দর এবং বন্ধুত্বপূর্ণ পরিবেশ .. ভাল খাবার .. সেট মেনুগুলি আমার মতে সেরা। এটা বজায় রাখা.,
28,The worst food I ever experienced.. Soup was like steamed water ... And set menu rice chicken are taste less chicken contained heavy food colour.. Which can cause cancer..,আমার সবচেয়ে খারাপ খাবারটি..আর স্যুপটি ছিল বাষ্পযুক্ত জলের মতো ... এবং সেট মেনু রাইস মুরগির স্বাদ কম মুরগীর মধ্যে ভারী খাবারের রঙ থাকে ... যা ক্যান্সারের কারণ হতে পারে ..,
29,very bad service... just tym & tk waste. behaviour very bad.. decoration very bad.... should close it or improve quality,খুব খারাপ সার্ভিস ... শুধু টাইম ও টি কে বর্জ্য। আচরণ খুব খারাপ .. সাজসজ্জা খুব খারাপ .... এটি বন্ধ করা উচিত বা মান উন্নত করা উচিত,
30,Went there today for the first time unexpectedly. But the food was so yumm i didn't expected that and their service was way to fast than the others � i liked it :),অপ্রত্যাশিতভাবে প্রথমবারের জন্য আজ সেখানে গিয়েছি। তবে খাবারটি এতটা মুখরোচক ছিল যা আমি প্রত্যাশা করিনি এবং তাদের পরিষেবাটি অন্যদের চেয়ে রোজা রাখার উপায় � আমি এটি পছন্দ করেছি :),
31,The food of Arabian Master is good and testy. You should try. Go there enjoy their testy testy food. I like it��� Even Foods cost is reasonable....,আরবীয় মাস্টারের খাবার ভাল এবং পরীক্ষামূলক। আপনার চেষ্টা করা উচিত্. সেখানে তাদের পরীক্ষামূলক টেস্টি খাবার উপভোগ করুন। আমি এটি পছন্দ করি - এমনকি খাবারের দামও যুক্তিসঙ্গত ...,
32,"their food quality and service is very good � i just love their food �� specially their cream pasta (10/10) �, chawmin (10/10) �","তাদের খাবারের মান এবং পরিষেবা খুব ভাল � আমি কেবল তাদের খাবার পছন্দ করি �� বিশেষত তাদের ক্রিম পাস্তা (১০০) cha, চৌউমিন (১০৯) �",
33,Everyone enjoyed lots of fun and chat with friends and birthday parties. Thanks to all of the Arabian master.,প্রত্যেকে বন্ধু এবং জন্মদিনের পার্টিতে প্রচুর মজা এবং চ্যাট উপভোগ করে। সমস্ত আরব মাস্টার ধন্যবাদ।,
34,"We tested the BBQ pizza 4 season, cheese Supreme Pizza teste r too gud very yummy.... Well service... Happy us","আমরা বিবিকিউ পিজ্জা 4 মরসুম পরীক্ষা করেছি, পনির সুপ্রীম পিজ্জা টেস্ট খুব খুব মুখরোচক .... ভাল পরিষেবা ... আমাদের শুভ",
35,atmosphere is really good....food is average.....service is lil slow but they behave well....song selection is also good....,পরিবেশটি সত্যই ভাল .... খাবার গড় ..... পরিষেবা লিল ধীর হলেও তারা ভাল আচরণ করে .... গানের নির্বাচনও ভাল ...,
36,Pizza was nice i like it. My friends also like it.,পিজ্জা আমার ভাল লেগেছে। আমার বন্ধুরাও এটি পছন্দ করে।,
37,Today I am going to there celebrating my frnd birth day totally amazing�� Food are really good so gyus pls going there and enjoy your day.....,আজ আমি সেখানে যাচ্ছি আমার বন্ধুর জন্মদিন পুরোপুরি আশ্চর্যজনকভাবে উদযাপন করছি - খাবারগুলি সত্যিই ভাল তাই ছেলেরা সেখানে গিয়ে আপনার দিনটি উপভোগ করবে .....,
38,need to improve the standard of food. The quality is not up to the mark compared to the money taken,খাবারের মান উন্নত করা দরকার। নেওয়া অর্থের তুলনায় গুণমানটি চিহ্ন পর্যন্ত নয়,
39,Best place for family hangout. And food quality + quantity - 10/10 Thanks for everything Arabian Master.,পরিবার হ্যাঙ্গআউটের জন্য সেরা জায়গা place এবং খাবারের গুণমান + পরিমাণ - ১০০ সমস্ত কিছু আরবীয় মাস্টার জন্য ধন্যবাদ।,
40,"So yummy Pizza with reasonable price,also with discount & various offers.... Loved it �","তাই সুস্বাদু পিজ্জা যুক্তিসঙ্গত দাম সহ, ছাড় এবং বিভিন্ন অফার সহ .... এটি পছন্দ হয়েছে �",
41,Great food. Specially the BBQ Chicken. Everyone should visit and taste.,মহান খাদ্য. বিশেষত বিবিকিউ চিকেন। প্রত্যেকের দর্শন এবং স্বাদ নেওয়া উচিত।,
42,Food & their service is good. Food quality could be better.,খাবার এবং তাদের পরিষেবা ভাল। খাবারের মান আরও ভাল হতে পারে।,
43,Bbq pizza is Love ❤️ I visited many times there environment is also good,বিবিকিউ পিজ্জা হ'ল লাভ ❤️ আমি অনেকবার পরিদর্শন করেছি তাদের পরিবেশও ভাল,
44,Worst possible service!! They are super rude and didn't give food on time for iftar.,সবচেয়ে খারাপ সেবা !! তারা সুপার অভদ্র এবং ইফতারির জন্য সময় মতো খাবার দেয়নি।,
45,"test is good, service is also fast. decoration should be upgrade at all.","পরীক্ষা ভাল, পরিষেবাও দ্রুত। সাজসজ্জা এ সব আপগ্রেড করা উচিত।",
46,I like the food but their service is not good ............,আমি খাবারটি পছন্দ করি তবে তাদের পরিষেবা ভাল নয় ............,
47,Simply the pizza was....cheeseeeeee.....wanna taste it again for sure...,কেবল পিজ্জা ছিল .... পিনিজি ..... অবশ্যই আবার এটির স্বাদ নিতে চাই ...,
48,Great place... There behaviour is too good... Keep going...,দুর্দান্ত জায়গা ... আচরণ খুব ভাল ... চালিয়ে যান ...,
49,nice place to hangout...service was good......... :),হ্যাঙ্গআউট করার সুন্দর জায়গা ... পরিষেবাটি ভাল ছিল ......... :),
50,"Great food, Specially the BBQ (Lollipop) Chicken, Everyone should visit and taste.","দুর্দান্ত খাবার, বিশেষত বিবিকিউ (ললিপপ) চিকেন, প্রত্যেকেরই দেখা এবং স্বাদ নেওয়া উচিত।",
51,cream of cheese pasta 2/10 fusilli pasta 6/10 Beef Arabian pasta 2/10,পনির পাস্তা ক্রিম 2/10 ফুসিলি পাস্তা 6/10 গরুর মাংস আরবীয় পাস্তা 2-10,
52,Amazing food and great hospitality .Really impressed �,আশ্চর্যজনক খাবার এবং দুর্দান্ত আতিথেয়তা e,
53,awesome.............................................,অসাধারণ.............................................,
54,"yyyaaammee food, good survice. thanx 2 woner of Arabian Master�����","ইয়াআম্মে খাবার, ভাল সেবা। আরবীয় মাস্টার����� এর 2 টিরও বেশি মালিক �����",
55,Foods r just awesome !! If u don't try it then you gonna miss it..,খাবারগুলি কেবল দুর্দান্ত! যদি আপনি এটি চেষ্টা না করেন তবে আপনি এটি মিস করবেন ..,
56,My 1st home delivery frm dm nyc n fast... n de pizza was mouthwatering yummm....,আমার 1 ম হোম ডেলিভারি ফ্রম ডিএম এনসি এন দ্রুত ... এন ডি পিজ্জা মুখ গুঁজে যাচ্ছিল ইউম্ম ....,
57,Awesome lunch..... And special thanks Tarek bhai..�,দুর্দান্ত লাঞ্চ ..... এবং বিশেষ ধন্যবাদ তারেক ভাই..�,
58,food quality was decent,খাবারের মান ছিল শালীন,
59,"Service Was Good. Restaurant Is So Nice, Near By Lal Khella. Waiter are Well Behaved. But Food Isn't So Good.","পরিষেবা ভাল ছিল। রেস্তোঁরা ইজ সো নিস, লাল খেল্লার কাছে। ওয়েটার ওয়েল বেহেভড। তবে ফুড ইজ নট গুড।",
60,Offer price B.B.Q pizza =500tk 2ta pasta =260+260=520tk(1ta free) atto faltu Khabar ami & amr frnds ra life a khai nai.1020tk purai panity gase�� test:0/10 service :2/10...,Offer price B.B.Q pizza =500tk 2ta pasta =260+260=520tk(1ta free) atto faltu Khabar ami & amr frnds ra life a khai nai.1020tk purai panity gase�� test:0/10 service :2/10...,
61,Fantastic food !,চমত্কার খাবার!,
62,nothing was good.,কিছুই ভাল ছিল না।,
63,Waste of money...,অর্থের অপচয় ...,
64,Valo,ভালো,
65,kono rules nai... khabar o tasty na �� khub e faltu.,kono rules nai... khabar o tasty na �� khub e faltu.,
66,Kisu bolar nai 100/100 Khowar test onek vlo Love it....,কিসু বলার নাই ১০০/১০০ খবর টেস্ট অনেক ভালো লোভে ইট....,
67,Jedzonko dobre,ভাল খাবার,
68,It's food quality is very good and so delicious...,এটি খাবারের মান খুব ভাল এবং খুব সুস্বাদু ...,
69,"All says Arabian master is mah 2nd Bari Ghar.... M loved thr food... N abt service?? All thr staff r lyk mah younger brother,,, #badol_Vai iz mah too much closer brother... n #Tareq_Vai (owner) unake nye r kichu ble lojja dbo naah... Jst thnq thnq brother foh open such an amazing side.... � �","সবাই বলে আরবীয় মাস্টার হলেন মাহ ২ G বারী বাড়ি .... এম থ্রি খাবার পছন্দ করতেন ... এন সার্ভিস ?? সমস্ত থ্রি স্টাফ আর লিক মাহ ছোট ভাই ,,, # ব্যাডল_ভাই ইজ মাহ আরও অনেক কাছের ভাই ... # # তারেক_ভাই (মালিক) আনেক নায়ে আর কিচু বেল লোজ্জা ডিবো নাঃ ... জাস্ট থ্যানক থানক ভাই ফোহ এমন এক আশ্চর্যজনক দিক খুলুন। ... � �",
70,Pizza and other food was excellent and service are great.,পিজা এবং অন্যান্য খাবার দুর্দান্ত ছিল এবং পরিষেবা দুর্দান্ত।,
71,food quality totally nonsense. Price is ridiculously sky high.don't go there.vooter bari and pizza king much better,খাবারের মান পুরোপুরি বাজে। দাম হাস্যকরভাবে আকাশে উঁচু,
72,Love their service...it was great!! Had great experience...will be visiting soon.. :) :),তাদের সেবা ভালবাসা ... দুর্দান্ত ছিল !! দুর্দান্ত অভিজ্ঞতা ছিল ... শীঘ্রই পরিদর্শন করা হবে .. :) :),
73,BBQ pizza is so much tasty But the service is too much late They need to improve their service quality,বিবিকিউ পিজ্জা অনেক সুস্বাদু তবে পরিষেবাটি খুব বেশি দেরিতে তাদের সেবার মান বাড়ানোর প্রয়োজন,
74,Very nice............... I love it,খুব সুন্দর ............... আমি এটা ভালবাসি,
75,had a great experience there. will be visiting again soon :),সেখানে একটি দুর্দান্ত অভিজ্ঞতা ছিল। শীঘ্রই আবার দেখা হবে :),
76,"Yummy food, the service satisfied me. I loved it....","মুখরোচক খাবার, পরিষেবাটি আমাকে সন্তুষ্ট করেছে। আমি এটা পছন্দ করি....",
77,Nice place in lalbagh ... Love da foods,লালবাগে সুন্দর জায়গা ... দা খাবার পছন্দ,
78,Food tastes good and fresh. Good service. Ambience is also good.,খাবারের স্বাদ ভাল এবং তাজা। ভালো সেবা. পরিবেশও ভাল।,True
79,"Great food, cosy atmosphere, healthy food, great for friends and family gathering...","দুর্দান্ত খাবার, আরামদায়ক পরিবেশ, স্বাস্থ্যকর খাবার, বন্ধুবান্ধব এবং পরিবার সংগ্রহের জন্য দুর্দান্ত ...",True
80,It used to be one of my favorite places for food but my last three visits were absolute disappointment. The chickens were so dry and tasteless. My favorite charbroiled chicken totally lost its texture and top of that they reduced the size of the chicken pieces. Hope the management take these issues seriously.,এটি খাবারের জন্য আমার প্রিয় জায়গাগুলির মধ্যে একটি হিসাবে ব্যবহৃত হত তবে আমার শেষ তিনটি দর্শনটি হতাশ হ'ল। মুরগিগুলি এত শুকনো এবং স্বাদহীন ছিল। আমার প্রিয় চারব্রিলড মুরগির সম্পূর্ণরূপে এর গঠন এবং এটি হ্রাস পেয়েছে যে তারা মুরগির টুকরাগুলির আকার হ্রাস করে। আশা করি ম্যানেজমেন্ট এই বিষয়গুলিকে গুরুত্ব সহকারে নেবে।,
81,good food! waiters are very well behaved!,ভাল খাবার! ওয়েটাররা খুব ভাল আচরণ করে!,True
82,"Quality and test of food is not great, also food is not well coordinated so you have to ended up paying high for a family dinner. Also they are not transparent when put advertisement as last week they put advert that there will be buy one get one free but didn’t mention time frame so when I reach they told that time is over.","খাবারের গুণগত মান এবং পরীক্ষা দুর্দান্ত নয়, খাবারও ভালভাবে সমন্বিত হয় না তাই আপনাকে পারিবারিক নৈশভোজের জন্য বেশি দাম দিতে হবে। এছাড়াও গত সপ্তাহ হিসাবে বিজ্ঞাপন দেওয়ার সময় এগুলি স্বচ্ছ হয় না they তারা বিজ্ঞাপন দিয়েছিল যে সেখানে একটি বিনামূল্যে কিনবে কিন্তু সময় ফ্রেমের উল্লেখ করেনি তাই আমি যখন পৌঁছলাম তারা জানিয়েছে যে সময় শেষ হয়ে গেছে।",
83,Good food nice ambience friendly staff ...,ভাল খাবার চমৎকার পরিবেশ বান্ধব কর্মীরা ...,True
84,"Used to love the food, but recently they have deteriorated very badly. The chicken seem pre-cooked and reheated, and the flavours are not as vibrant. Portions have decreased, too, so I go to Namdo's downstairs instead.","খাবারটি পছন্দ করতেন তবে সম্প্রতি তারা খুব খারাপভাবে খারাপ হয়ে গেছে। মুরগি প্রাক-রান্না করা এবং পুনরায় গরম বলে মনে হয় এবং স্বাদগুলি তেমন প্রাণবন্ত নয়। অংশগুলিও হ্রাস পেয়েছে, তাই আমি পরিবর্তে নামডোর নীচে যাই।",
85,"Good one from you guys. Went there with colleagues. Food was great, and hospitality from you guys was amazing. A big shout out to Md sheikh sadi and Mr. Pear for your hospitality and all. Hope to visit you guys again soon. Keep up the great work...","আপনাদের কাছ থেকে ভাল। সহকর্মীদের সাথে সেখানে গিয়েছিলাম। খাবার দুর্দান্ত ছিল, এবং আপনার ছেলের কাছ থেকে আতিথেয়তা আশ্চর্যজনক ছিল। মোঃ শেখ সাদি এবং মিঃ পিয়ারকে আপনার আতিথেয়তা এবং সকলের জন্য একটি বড় চিৎকার। আশা করি শীঘ্রই আপনার সাথে আবার দেখা হবে। মহান কাজ আপ রাখুন...",True
86,Food was quite good not that bad but it didn’t reached my expectations except their iced coffee latte had the worst bitter taste ever... I’ll be neutral with the services provided!!,খাবারটি খুব খারাপ ছিল না তবে এটি আমার প্রত্যাশায় পৌঁছায়নি তবে তাদের আইসড কফি ল্যাটের মধ্যে সবচেয়ে খারাপ তেতো স্বাদ ছিল ... আমি প্রদত্ত পরিষেবাদিগুলির সাথে নিরপেক্ষ থাকব !!,
87,Good ambiance & love their food.,ভাল উচ্চাভিলাষ এবং তাদের খাবার পছন্দ।,True
88,That jamaican grill chicken was kinda okay and specially that hot wing was spicy which i liked among all of the items but the rice wasn't way too good :3 5/10 on that rice xD -_- overall it was good and yeah nice place,জামাইকার গ্রিল মুরগি দয়ালু ঠিক আছে এবং বিশেষত হট উইং মশলাদার ছিল যা আমি আইটেমগুলির মধ্যে পছন্দ করি কিন্তু ভাত খুব একটা ভাল ছিল না: 3 5/10 এই ভাতটিতে এক্সডি__- সামগ্রিকভাবে এটি ভাল ছিল এবং হ্যাঁ চমৎকার ছিল স্থান,
89,"Nice hangout place, worth paying a visit.",দর্শনার্থীর জন্য মূল্য দারুণ সুন্দর হ্যাঙ্গআউট।,True
