,comments,sentiment
53,Bha'i moba'ilata hate neyara 1 ghanta para disaple nasta haye geche.,Negative
54,Bha'iya neta pra'ijera ceye besi dhara hayeche,Negative
55,Sbalpa mulye eta bhala asa kari na'i.,Positive
56,Bhalo moba'ila.,Positive
57,Disaple khuba kharapa|,Negative
58,Pariskara lagabe na jhirajhira lagabe,Negative
59,Video dekhe bhalo lagabe na |,Negative
60,Bhalo lagalo antarjatika bryanda gulo ekhana banladese'i pa'oya yacche,Positive
61,Asala pradakta. Delibhari pyakejim khuba'i bhalo chila.,Positive
62,"Phonata dekhate aneka sta'ili, sekendari phona hisebe aneka bhala habe.",Positive
63,Saba kichu thika thaka chila,Positive
64,", Phona asale'i sundara, sundara luka",Positive
65,Ami santusta.....Dhan'yabada DARAZ......,Positive
66,Dhakara bahire sebati bandha ache.,Negative
67,Etara koyaliti bhala na,Negative
68,E'irakama pha'ijalami karara mane ki?,Negative
69,I-kuriyara sarbhisa asambhaba bhalo.,Positive
70,"Oya'o, arajinala prodakta.",Positive
71,"Dhuru, amake hayarani karale",Negative
72,Sa'omi ekhana kharapa jinisa dicche,Negative
73,Manusake na thakiye bhalo prodakta de'oyara byabastha karena.,Negative
74,Eta baje kamenta dekhe kenara sahasa hariye phelechi,Negative
75,E'isaba baje kamenta ara ribhi'u.,Negative
76,"Phasta carja haya na,",Negative
77,"Ekhana'o kona samasya hayani, bhala'i calache.",Positive
78,Amake nasta ekati pa'oyara byanka diche,Negative
79,", Age khuba bhala chila,",Negative
80,Khuba'i bhalo manera prodakta......,Positive
81,Apanara jinisa phalatu kena?,Negative
82,Daraja ekhana citim suru karache,Negative
83,"Mana anuyayi aneka bhalo,",Positive
84,100% Jenu'ina..,Positive
85,Ami etara carama bhabe bhuktabhogi,Negative
86,Amake nasta Power Bank deya hayeche,Negative
87,Eti byabahara kare ami puropuri santusta.,Positive
88,Ya'i hoka prodakta bhalo'i.,Positive
89,Prodakta ta aneka bhalo.,Positive
90,Prodakta arijinala.,Positive
91,Delibhari niye ami santusta.,Positive
92,Eta ekebare'i kamya na.,Negative
93,Asadharana ekati pa'oyara byanka.,Positive
94,Pyakejim aneka bhalo chila.,Positive
95,Kintu DARAZ era sarbhisa mote'o bhalo na.,Negative
96,Jinisa asala. Supara phasta delibhari.,Positive
97,"Eka kathaya, kama dame bhalo jinisa",Positive
98,Prodakta arajinala,Positive
99,Yeta daraja theke asa kari na'i:(,Negative
100,Amara kache pracura parimane raga uthe,Negative
101,Motamuti bhala'i byaka'apa pacchi,Positive
102,Eta besta.,Positive
103,Khuba bhala prodakta,Positive
104,"Aneka bhala power bank,",Positive
105,"Kyasa byaka deyani, baje byapara.",Negative
106,Aneka sundara prodakta. Like it,Positive
107,E'i prodakta era koyaliti bhala,Negative
108,Pratarana kare ara kayadina calabena?,Negative
109,Prathame yeta pathiyeche seta phlyasa la'ita nasta chila.,Positive
110,Saba miliye yathesta bhalo sarbhisa dicche.,Positive
111,Koyaliti amara mana mata hayeche. Dhan'yabada,Positive
112,Ami yemana asa karechilama temana'i peyechi.,Positive
113,Moba'ilera kona samasya haya na'i carja deyara para.,Positive
114,"1Ma du'i  daga sathe sathe carja uthe yaya, hayare!",Negative
115,Prodakta bhalo,Positive
116,Kharapa koyalitira prodakta peyechi.,Negative
117,Duhkhita syara.,Negative
118,Mana bhalo,Positive
119,Bajara era ceye aneka kame pa'oya gela.,Positive
120,Bataparira ekata sima thaka ucit,Negative
121,Kono samasya hayani byabahara karate,Positive
122,Amara bhalo legeche.,Positive
123,Thakanora eka dhandabaja a'idiya.,Negative
124,Yattasaba thagera dala.,Negative
125,"Amara kache bhalo legeche,",Positive
126,Prodakta era ko'oyaliti bhala,Positive
127,"Nasta pradakta payachilama,dama kama chila",Negative
128,Bhalo abasthaya peyechi.,Positive
129,Prodakta kona samasya ne'i,Positive
130,"Khuba'i sundara sarbhisa pacchi,",Positive
131,Obhara'ala saba kichu bhala.,Positive
132,Besa bhalo.,Positive
133,Khuba'i santusta prodakta ti peye,Positive
134,Prayojaniya panya.,Positive
135,E'i paryanta kono samasya hayani byabahara karate.,Positive
136,"Prodakta era ko'oyaliti khuba'i bhala,",Positive
137,Dama anuyayi panya thika i ache.,Positive
138,Bhalo manera tara diyeche,Positive
139,Nasta mala pathano hayeche,Negative
140,"Sabakichu'i thika ache,",Positive
141,Eta ta saporta kare na.,Negative
142,Nasta hedaphona diche daraja,Negative
143,Pura'i phalatu,Negative
144,Panya hate peye hatasa haye gelama.,Negative
145,Kona kajera na.,Negative
146,Ekadama baje prodakta.,Negative
147,Mane haya nasta haye yabe.,Negative
148,Sa'unda koyaliti bhalo habe na jani.,Negative
149,Era theke phutapathera hedaphona aneka bhalo.,Negative
150,100 Taka hisebe bhala'i,Positive
151,1 Nambarera bha'otabaji.,Negative
152,Ma'ikrophona kaja kare na,Negative
153,Carja 10 minitera besi thake na.,Negative
154,Eka kanera sa'unda kliyara na,Negative
155,Mana uthe geche pura'i ,Negative
156,Dama anuyayi kharapa na,Positive
157,"Bhala na,",Negative
158,E dekhi ana haya na.,Negative
159,"Khuba baje koyaliti, kine thakechi.",Negative
160,Ta'i bale etata kharapa habe bhabini.,Negative
161,Dama hisebe bhalo'i ache!,Positive
162,Ati derite delibhari.,Negative
163,Dama anuyayi thika ache.,Positive
164,Sathe besa ta'o daruna..,Positive
165,Tabe prodakta bhalo chila,Positive
166,An'ya sapera tulanaya dama aneka besi,Positive
167,Pha'ijalami  ardara karachi aja ata dina ekhana paryanta pan'ya hate pa'ini.,Negative
168,Sa'unda o kharapa na!,Positive
169,Bha'i headphone saba theke kharapa,Negative
170,Sa'unda koyaliti bhalo.,Positive
171,Kama dame bhala pradakta.,Positive
172,Daya kare apanara kinabena na,Negative
173,Phalatu koyaliti,Negative
174,Sa'unda koyaliti bhala.,Positive
175,Dama hisebe se'i jinisa,Positive
176,Sa'unda koyaliti ekadama bhalo na,Negative
177,Khuba'i kama dame motamuti manera hedaphona.,Positive
178,Temana bhala na.,Negative
179,Nimnamanera plastika diye tairi,Negative
180,Ekadama baje ekata hedaphona.,Negative
181,"Khuba baje,",Negative
182,Riphandera marapyamce phele diye eksatra kamanora dhanda na?,Negative
183,Pura'i phalatu.,Negative
184,Bhandami to bhalo'i karena.,Negative
185,Chabite ekata ara dise arekata,Negative
186,E'i sapa theke prodakta niyena na.,Negative
187,Byatari byaka'apa ara sa'unda koyaliti bhalo lage!,Positive
188,E'i dame besta prodakta!,Positive
189,Bhuya.,Negative
190,Kona kreta eta ardara karabena na.,Negative
191,Phajalami karena? Chabite ekata kare dicchena arekata.,Negative
192,Kraya kare pratarita habena.,Negative
193,E'i dokana era sathe dila na kara.,Negative
194,Manusa thakanora dhanda .,Negative
195,Pura'i phalatu ekata jinisa dicchena apanara,Negative
196,Sa'unda koyaliti aneka kharapa,Negative
197,Ami apanadera kacha theke khuba'i bhala prodakta peyechi.,Positive
198,Manata aneka bhalo.,Positive
199,Byatari nasta,Negative
200,Baje prodakta daraja ucita e'i dokana ke kika a'uta kara,Negative
201,Chabi ara pradakta akasa patala parthakya.,Negative
202,"E'i prodakta era koyaliti khuba'i bhala,",Positive
203,"Kenara age bhebe kinabena,",Negative
204,Amara dekha spikarera madhye khuba bhala ekata spikara.,Positive
205,Ami sampurnarupe hatasa.,Negative
206,"Sedina theke'i, apanara'o bayakata karuna...",Negative
207,Amara kona dharanera kamaple'ina ne'i.,Positive
208,Cokha bandha kare kine phelate parena,Positive
209,Khuba'i phalatu ebam baje ekata oyebasa'ita..,Negative
210,Ekata nasta byanda pathano hayeche amake...,Negative
211,"Ba'ire yaba bala sattbe'o samaya barayani, ritarna neyani...",Negative
212,Ami Daraz.Com bayakata karechi,Negative
213,Bhalo chila,Positive
214,Dama anuyayi pradaktera byapare santusta,Positive
215,Tara praya saba'i bhuya.,Negative
216,Aro aneka bhala lagalo,Positive
217,Nim'mamanera plastika byabahara kara hayeche.,Negative
218,VR Box ta yatata bhala,Positive
219,Jinajira to era ceye sundara prodakta banate pare.,Negative
220,Dama hisebe jinisata thika'i ache. ,Positive
221,Khamti du'i nambara bastu.,Negative
222,Taka nasta.,Negative
223,E'irakama nakala phalatu pradakta ami kalpana'o karini.,Negative
224,Jaghan'ya pradakta,Negative
225,Phalatu sudhu kena'i chilo ara kichu'i haya ni,Negative
226,Phalatu ekata jinisa diyeche.,Negative
227,Dama era ca'ite jinisata satyi'i khuba bhalo chila.,Positive
228,Jinisa kenaya daraja era re'opansa'o khuba'i bhalo.,Positive
229,Rejulesana bhalo o spikara rayeche.,Positive
230,Dama anuyayi e'i panya pa'oya bhagyera byapara.,Positive
231,Prathamika bhi'ara eksaperiyensa nite ca'ile bhala'i bala cale.,Positive
232,Dama anuyayi bhala'i.,Positive
233,Khuba bhala prodakta.,Positive
234,Dekhe bhala'i mane hacche.,Positive
235,Totala batapari.,Negative
236,Moba'ilera storeja hisebe bhala kaja kare.,Positive
237,Guda prodakta!,Positive
238,Ma'usa byabahara kare temana kharapa mane hayani,Positive
239,Bhabachi ritarna na diye bhokta adhikara a'ine mamala karabo...,Negative
240,"Ra'isa anuyayi besta prodakta, thx",Positive
241,Asala bhebe ardara diyechilama. Bakita itihasa.,Negative
242,Bhalo'i lagalo.,Positive
243,Dama anuyayi aneka bhalo,Positive
244,"Dama kama, se hisabe panyera mana kharapa naya, bhala.",Positive
245,Kama dame bhalo ma'usa.,Positive
246,Atyanta akarsaniya eti.,Positive
247,E'i damera madhye besta gemim ma'usa,Positive
248,E'i dama e bhala'i,Positive
249,Alpa bajete yara kiborda kinate cacchena tara e'i kibordati nite parena.,Positive
250,"Ki- borda khuba bhalo, sta'ilisa.",Negative
251,Kiborda era bilda koyaliti khuba'i nimnamanera.,Negative
252,Samaya o taka apacaya. ,Negative
253,Kiborda dbitiya dine nasta haye geche ara ma'usa gelo 5 dina.,Negative
254,Asadharana sarbhisa.,Positive
255,Khuba'i bhalo kiborda.,Positive
256,Temana bhalo na,Negative
257,Koyaliti ekatu naramala bata bhalo'i..!,Negative
258,Aneka  kula,Positive
259,Parapharamensa motamuti bhalo.,Negative
260,Ni'u dija'inera temana ekata taphat na'i..,Positive
261,Bhalo. Alota aneka sada ebam pariskara.,Positive
262,"Phato printa o bhala,",Positive
263,Bhalo'i tabe alota moba'ilera phlyasa la'itera ceye'o kama.,Positive
264,Price anuyayi kharapa na tabe alo ekatu kama.,Positive
265,Katha ebam kajera sathe mila pa'oya yayani.,Negative
266,Dama anuyayi aneka bhalo.,Positive
267,Dama anuyayi bhala peyechi.,Positive
268,La'ita nasta chila.,Negative
269,Khuba'i bhala manera pan'ya,Positive
270,Asala panya payechi.,Positive
271,Khuba salpa dame printara ti pelama.,Positive
272,"Printim spida bhala,",Positive
273,Amara kache eta asadharana mane hayeche,Positive
274,Dora atakano yayana.,Negative
275,Ekhana o paryanta bhalo'i dekhachi bakituku allaha maluma.,Positive
276,Ya ritimato bibhrantikara,Negative
277,Eta kama dame eto bhalo tibhi bhaba'i yaya na,Positive
278,Amara paricita yara obhena kineche tara saba'i e'ita kinate nisedha kareche.,Negative
279,Du'i nambari karale bhabisyate na kheye marate habe.,Negative
280,E'i obhena ta bhalo na.,Negative
281,"Apanadera sarbhisa khuba'i phalatu,",Negative
282,Bhalo mesina,Positive
283,Kharapa na,Positive
284,Ebhabe offer era name manusa thakacchena kena?,Negative
285,Dama anusare thika ache.,Positive
286,Pyakejim ta pachanda hayeche.,Positive
287,Aneka bhalo ghari,Positive
288,Ami satyi'i bakarud'dha..!,Positive
289,Baha..! Aneka sundara ghari pathiyechena..! ,Positive
290,Ultapalta setapa cayana ghari delibhari dibena,Negative
291,Daruna ekata oyaca.,Positive
292,"E'i nina 5 star, karana yemana diyechena temana jinisa i peyechi",Positive
293,Hate parale primiyama phila ase.,Positive
294,Apanadera prodakta peye ami khusi.,Positive
295,Aneka bhalo manera ghari,Positive
296,Ghari bhalo.Ara chare pa'ichi.,Positive
297,Kama dame bhalo ekata ghari.,Positive
298,"Aneka bhala manera ekati ghari,",Positive
299,"Bhalo chila, mananasa'i",Positive
300,Khuba kharapa ghari ami 3 dina o byabahara karate paralama na.,Negative
301,Mila na'i an'ya saba kichu chabira sathe.,Negative
302,Era theke kharapa belta ara kichu na'i,Negative
303,"Ekhana ara cale na, ekadama nasta haye geche",Negative
304,Gharira belta jaghan'ya,Negative
305,Picture era sathe product era aneka parthakya,Negative
306,Amara kache aneka bhala legeche gharita.,Positive
307,Batapara.,Negative
308,Sudhu taka nasta karalama.,Negative
309,Gharita sundara,Positive
310,Bhalo'i mane hacche.,Positive
311,Amara parsonala nebhi phorsa oyaca aneka bhalo lage,Positive
312,Era koyaliti khuba'i bhalo.,Positive
313,Eti niye ami aneka santusta,Positive
314,E'i damera madhye sundara ekati ghari..,Positive
315,Dami jinisa yemana haya araki,Positive
316,Pharamala dresera sathe myaca kare bhalo.,Positive
317,"Sera sera sera,.......",Positive
318,Ara giphata baksa o deyana'i. Saba batapara..,Negative
319,Khuba bhalo ekata pradakta,Positive
320,Katha ara kaje kona mila na'i.,Negative
321,"Prodaktati eka kathaya aneka bhalo,",Negative
322,Bhalo ekati belta,Positive
323,Aneka sundara koyaliti daruna,Positive
324,Aneka bhalo lagache.,Positive
325,Bhala...Lagache...Byabahara kare....,Positive
326,Belta ti pachanda ha'iche.,Positive
327,Baje khuba baje,Negative
328,Amara kache bhala koyaliti mane hayeche,Positive
329,Abasya kharapa na....!!,Positive
330,"Yemana dekhechi, e'i anuyayi eka'i belta peyechi. .",Positive
331,Dama anuyayi thika ache.,Positive
332,Eta jenu'ina ledara na,Negative
333,E'ibhabe manusake kharapa prodakta dile markete tikabena besidina,Negative
334,Apatata pachanda ha'iche.,Positive
335,Pura'i phalatu  era ceye phutapate bhalo prodakta pa'oya yaya 100 takara madhye.,Negative
336,Dija'ina o sundara.,Positive
337,Belta era koyaliti bhalo chila,Positive
338,Bhalo ke bhalo balate habe.,Positive
339,Damera tulanaya bhalo.,Positive
340,E'i dame kharapa na,Positive
341,Besi ekata bhalo na,Negative
342,Dama anuyayi khuba'i bhala manera e'i belta.,Positive
343,Kona rakama cinta bhabana na kare'i kinate parena.,Positive
344,Byabahare ki kono samasya hayani.,Positive
345,E'i damera madhye aneka bhalo. Setisapha'ida.,Positive
346,E'i belta satyi'i aneka bhalo.,Positive
347,"Aneka bhala chila, thika yemana dekhechi temana e.",Positive
348,Eto kama dame ami eta kinate pere khuba'i santusta.,Positive
349,Eta kama dame eti kinate pere anandita.,Positive
350,Cokha bandha kare odera kacha theke prodakta neya yaya.,Positive
351,"Khuba baje o nimna manera, koyalitira panya.",Negative
352,Yadi o arajinala ledara na tabe dama hisabe prodakta khuba besi bhala.,Positive
353,Panyera mana yathesta bhala.,Positive
354,Manera mata panya peyechi. Gunagata mana atulaniya.,Positive
355,Amara kache e'i paryanta sabaceye bhalo legeche.,Positive
356,Klona oyaleta era madhye ekati mana sabaceye bhala.,Positive
357,Oyaleta era saba kichu amara bhalo legeche.,Positive
358,Yemanata bhebechi thika temana'i.,Positive
359,Dhakara madhye batapari,Negative
360,Manibyagata besa sundara ebam phyasanebala.,Positive
361,"Kona mane'i haya na, eta kenara.",Negative
362,Ami eta phele diyechi.,Negative
363,Batapari ekata sima thake.,Negative
364,"Baje ledara,",Negative
365,Chabira mata prodakta amake de'oya hayani.,Negative
366,Nile'i dhara khabena.Yemana ami khelama.,Negative
367,Khuba'i nimnamanera panya.,Negative
368,Over all bhalo,Positive
369,40 Taka damera khuba nimna manera prodakta.,Negative
370,Dija'ina sundara.,Positive
371,Material ta motamuti.,Positive
372,Ke'u kinabena na e'i prodakta.,Negative
373,Design khuba'i sundara.,Positive
374,Prodakta koyaliti baje.,Negative
375,Rodakta ti bhalo tabe dama ekatu besi mane halo.,Positive
376,Mithya katha bale prodakta bikri karena.,Negative
377,Apanara kompanira upara netibacaka prabhaba parabe,Negative
378,Ami khusi.,Positive
379,Ekadama tharda klasa marka ekata jinisa,Negative
380,Byabahara kare amara bhalo lagache.,Positive
381,Ebhabe moba'ila rakha yaya katha na bale bikri kara'i bhalo chila..,Negative
382,Taka hisebe prodakta era mana atata bhalo na.,Negative
383,Bhalo pan'ya.,Positive
384,Ami saba'ike anurodha karabo eti na kenara jan'ya,Negative
385,Du'itara koyalitite garamila ache,Negative
386,Bhalo chila.,Positive
387,Mani byaga ta khuba naramala.,Negative
388,Koyaliti dama hisebe bhalo'i.,Positive
389,Prodakta gulora koyaliti damera tulanaya bhalo chila na.,Negative
390,Quality r very poor...Pic r sathe kona mila na'i..,Negative
391,"Panjabira koyaliti khuba'i baje chila, na",Negative
392,Ebhabe ka'uke thakabena na daya kare.,Negative
393,Khuba patala kapara o eka dhoyaya nasta haye giyeche????????,Negative
394,Phalatu prodakta.,Negative
395,Esaba lobhaniya aphara diye kono kastamara ke thakabe na,Negative
396,Am'mu gali diyeche pracura eta kharapa kapara dekhe.,Negative
397,Genjira pichane ekata phuto.Eta baje habe bhabate'i parini.,Negative
398,Koyaliti kharapa,Negative
399,Kapara ekebare'i bhala na.,Negative
400,Ekadina dhoyara para phyakase haye geche.,Negative
401,Damera ksetre santosajanaka kapara.,Positive
402,Simpalera madhye garjiyasa  motamuti cale.,Positive
403,Khuba baje ekata prodakta.,Negative
404,Chera chila genji,Negative
405,Kapara ta khuba ekata bhalo na.,Negative
406,Koyaliti kharapa,Negative
407,Bhula panya de'oya hayeche,Negative
408,Darajera seba peye ami santusta na'i.,Negative
409,Ara darajera panyera sa'ijera samasya ache.,Negative
410,Ami amara carasa taka puropuri nasta haye geche eta kine.,Negative
411,Kapara ekatu bhalo na.,Negative
412,Ye panya adara kara hayeche ta ami pa'ini. .,Negative
413,Overall bhalo chila,Positive
414,Era marketa plesa ta nasta karache,Negative
415,Kintu kapara asanti haya na'i.,Negative
416,Kapara ta ara ekatu bhalo de'oya ucita chila.,Negative
417,Phalatu ekata ti sarta.,Negative
418,"Pura'i phalatu, ardarera sathe prodaktera kono mila  na'i",Negative
419,Delibhari khuba druta diche,Positive
420,Lula koyaliti,Negative
421,Koyaliti bhalo na,Negative
422,Koyaliti bhalo,Positive
423,Ya bhebechilama tara theke aneka bhalo,Positive
424,Pura'i lula,Negative
425,Kapara nimnamanera.,Negative
426,Obhara'ala bhalo,Positive
427,Suti kaparera bhalo manera jama.,Positive
428,Eta mote'o phitim na.Pracanda dola,Negative
429,Kona samasya haya na'i.,Positive
430,Ara pic e yemana dekhaya bastabe tata bhalo dekhaya na.,Negative
431,"Aneka bhala legeche, kono samasya ne'i.",Positive
432,Kaparera mana khuba ekata bhala chila na.,Negative
433,Kapara ebam printa koyaliti bhalo ,Positive
434,Ekebare baje chila,Negative
435,Chabite katata sundara asale temana na,Negative
436,Printa koyaliti atyanta baje,Negative
437,Darajera seba peye ami santusta na'i.,Negative
438,Dekhate yemana asale temana na.....,Negative
439,"Online a dekhate yemana, bastabe tara theke alada.",Negative
440,Ye dija'ina de'oya ache se'i dija'ina era na,Negative
441,"Arijinala prodakta, ami setisapha'ida..!!",Positive
442,Saba miliye bhalo'i.,Positive
443,Kapara ta ekatu patala hale'o bhalo'i garama.,Positive
444,Bhula panya de'oya hayeche.,Negative
445,Dekhate sundara o aramadayaka.,Positive
446,Darajera panyera sa'ijera samasya ache.,Negative
447,Kaparera mana khuba'i baje.,Negative
448,Arijinala rana ne'i.,Negative
449,Eka kathaya dhara kha'ichi.,Negative
450,Phalatu prodakta,Negative
451,Eti bhala na.,Negative
452,Kalarera aneka taratamya ache,Negative
453,Dosa habe dosa ,Negative
454,Sudhu sudhu hayarani karena..,Negative
455,Pura'i pha'ula.,Negative
456,Kapara khuba bhalo,Positive
457,Baje kapara ebam printa.,Negative
458,"Kapara, sela'i 2 ta baje",Negative
459,Amara khuba bhalo legeche.,Positive
460,Hate pa'oyara para dekhi kaparera koyaliti katata kharapa.,Negative
461,Ara sabatheke bhalo lage printim.,Positive
462,Printim jasta asama.,Positive
463,Obharala bheri guda prodakta,Positive
464,"Prodakta era koyaliti bhala,",Positive
465,Kapara aneka bhalo....,Positive
466,"Dama hisebe kharapa na,,,motamuti bhalo",Positive
467,Kapara ekadama bhala na,Negative
468,100 Takara dila hisebe camatkara.,Positive
469,Besa bhala prodakta.  Tachara saba bhala.,Positive
470,Khuba'i saphata.,Positive
471,Nimnamanera kapara,Negative
472,Ami e'i dharanera prodakta ekadama asa karini.,Negative
473,Khuba  kharapa,Negative
474,"Prodakta era koyaliti khuba'i baje,",Negative
475,Kapara besi pachanda ha'iche.,Positive
476,Phalatu ekata prodakta ojata taka karacha karalama,Negative
477,Bhalo chila.,Positive
478,Damera tulanaya yaya,Positive
479,Chabite yemana dekhano hayeche thika temani peyechi ,Positive
480,"Kaparera manata arekatu unnata karale bhalo haya,",Negative
481,Kapara temana bhalo na.,Negative
482,"Khubi nimnamanera, sa'ija era kona bapa ma na'i.",Negative
483,Kapara o bhalo na,Negative
484,Chimra prodakta dena.,Negative
485,Lula pura'i phalatu sarbhisa phalatu oyebasa'ita.,Negative
486,Era theke kharapa prodakta ami jibane dekhachi kina..,Negative
487,"Chabite yemana dekha yaya,printa serakama naya,pura'i bhinna.",Negative
488,Phalatu prodakta gajara dekha'iya hate mula dhara'i diche,Negative
489,Etara stikarata khubi baje koyalitira. Stikaratara jan'ya'i genjita ara bhalo lage na,Negative
490,"Kapara khuba patala,kalara printa kara, e'i dame ebhareja.",Negative
491,Pherata dite badhya halama,Negative
492,Taka anupata e bhalo,Positive
493,"Pradakta koyaliti eta baje, age bujhale ardara karatama na.",Negative
494,Taka anupata e bhalo,Positive
495,Kapara ebam sela'i era mana eta kharapa,Negative
496,Anala'ina theke kapara kine bhalo eksaperiyensa ha'ilo,Positive
497,"Bha'iya,ti sarta ti hate peye manata i nasta haye gelo,dija'ina tika i chilo",Negative
498,Dama anuyayi aneka bhala genji.,Positive
499,Manusera sathe erakama pratarana ka'irena na,Negative
500,Chabite dekhano sartera ram o phyabrikera sathe pathano sartera kona mila ne'i.,Negative
501,Bhalo'i to suru karechena chabi sathe kono mila na'i!!!!,Negative
502,Kono mila na'i....,Negative
503,"Eta besi kharapa na, dama anuyayi bhala",Positive
504,Kalara pura'i alada...,Negative
505,Pura'i lasa kha'ilama.,Negative
506,Chabi ara bastabata sampurna bhinna,Negative
507,"Banano bhalo haya,",Negative
508,Mane haya gulistana theke niye asache.,Negative
509,Sarta ija oke,Positive
510,Khuba'i baje sarta.  ,Negative
511,Dama anuyayi kapara bhalo.,Positive
512,Kaparera mana besi bhalo mane hayani.,Negative
513,Amara puro taka lasa hayeche e'i sarta ti kine,Negative
514,Kaparera mana khuba besi bhalo na,Negative
515,"Disaplera sathe sartera kalara, kaparera bibarana konatara i kona mila ne'i...",Negative
516,Ekadama baje,Negative
517,Eta amara cahida anuyayi panya payani.,Negative
518,"Kajera phinisim konata'i bhalo na,,,,",Negative
519,Khuba'i baje koyaliti...,Negative
520,"Kaparera koyaliti,",Negative
521,Kalara'o mile na.,Negative
522,Khubi baje ebam phalatu koyaliti,Negative
523,Tharda klasa ekata sarta.,Negative
524,"Amara dekha sabaca'ite baje prodakta,",Negative
525,Ardara kara brandera sathe delibhari prodaktera kono mila ne'i.,Negative
526,Pra'isa yemana jinisa temana,Positive
527,Sarta era sela'i e aneka khani khumta ache.,Negative
528,Panyatira sabakichu'i bhalo legeche.,Positive
529,Bisesa kare rana ebam kaparera gunagata mana bhalo.,Positive
530,"Sartera koyaliti asadharana, sa'ija thika ",Positive
531,Taka nasta,Negative
532,Kaparera koyaliti o bhala,Positive
533,Kapara koyaliti to kharapa.Pratarana.,Negative
534,"Phalatu sarta barobajara koyaliti,",Negative
535,Pikera sathe kalarera aneka dipharensa.,Negative
536,Amara kache khuba'i bhalo lagache.,Negative
537,Kapara koyaliti ekadama baje.,Negative
538,"Sartata daruna,tabe sa'ije mile na'i",Positive
539,E'i sarta ti khuba bhalo,Positive
540,Khuba'i jaghan'ya manera.,Negative
541,Manusa anala'inera bisbasa karata pare na.,Negative
542,Phitim o bhalo,Positive
543,Bhalo koyalitira chila,Positive
544,Sartera kapara khuba bhalo.,Positive
545,Prodakta anuyayi dama besi chila.,Negative
546,Phebrika khuba bhalo ta'i bhalo lage.,Negative
547,Chabira mata prodaktati pa'ini.,Negative
548,Niscinte khete parena posaka,Positive
549,Ami yemanata ceyechilama prodaktata temana na,Negative
550,"Sa'ija paraphekta, phitim o thika ache.",Positive
551,Paraphekta.,Positive
552,Kapara ta bhalo chilo.,Positive
553,Khuba bhala dame bhalo jinisa,Positive
554,Prodaktati dama anuyayi thika ache.,Positive
555,.Phitim o bhalo chota hayani.,Positive
556,Genji tira mana khuba besi ekata bhalo na,Negative
557,"Prathamabara kinechi daraja theke, aneka bhala legeche",Positive
558,Dama hisebe khuba'i bhalo,Positive
559,Dama anuyayi bhalo.,Positive
560,Panya deya chila cha'iyana sabuja ranera e'i jan'ya santusta ami. ,Negative
561,Gaye diye besa arama lage.,Positive
562,"Phalatu genji,koyaliti bhalo na ara sabaceye bara katha an'ya kalara dise",Negative
563,Kaparera koyaliti kharapa na.,Positive
564,Bhalo pradakta,Positive
565,Dama anuyayi kharapa na,Positive
566,Khuba'i nimnamanera kapara,Negative
567,Bhala'i chila.,Positive
568,Eka kathaya mithyacara bala yaya..!!,Negative
