,comments,sentiment
84,১০০% জেনুইন।।,Positive
85,আমি এটার চরম ভাবে ভুক্তভোগী,Negative
86,আমাকে নষ্ট Power Bank দেওয়া হয়েছে ,Negative
87,এটা ব্যবহার করে আমি পুরোপুরি সন্তষ্ট। ,Positive
88, যাই হোক প্রোডাক্ট ভালোই।,Positive
89,প্রোডাক্ট টা অনেক ভালো।,Positive
90,প্রোডাক্ট অরিজিনাল । ,Positive
91,ডেলিভারী নিয়ে আমি সন্তুষ্ট।,Positive
92,এটা একেবারেই কাম্য না ।,Negative
93,অসাধারণ একটি পাওয়ার ব্যাঙ্ক। ,Positive
94,প্যাকেজিংটা অনেক ভালো ছিল। ,Positive
95,কিন্তু DARAZ এর সার্ভিস মোটেও ভালো না। ,Negative
96,জিনিশ আসল। সুপার ফাস্ট ডেলিভারি।,Positive
97," এক কথায়, কম দামে ভালো জিনিস",Positive
98,প্রোডাক্ট অরজিনাল,Positive
99,যেটা দারাজ থেকে আশা করি নাই :( ,Negative
100, আমার কাছে প্রচুর পরিমাণে রাগ উঠে,Negative
101,মোটামুটি ভালই ব্যাকআপ পাচ্ছি,Positive
102,এটা বেস্ট। ,Positive
103,খুব ভাল প্রোডাক্ট ,Positive
104,"অনেক ভাল power bank,",Positive
105,"ক্যাশ ব্যাক দেয়নি, বাজে ব্যাপার। ",Negative
106,অনেক সুন্দর প্রোডাক্ট। Like it,Positive
107,এই প্রোডাক্ট এর কোয়ালিটি ভাল,Negative
108,প্রতারণা করে আর কয়দিন চলবেন? ,Negative
109,প্রথমে যেটা পাঠিয়েছে সেটার ফ্ল্যাস লাইট নষ্ট ছিল।,Positive
110,সব মিলিয়ে যথেস্ট ভালো সার্ভিস দিচ্ছে।,Positive
111,কোয়ালিটি আমার মন মত হয়েছে। ধন্যবাদ,Positive
112,আমি যেমন আশা করেছিলাম তেমনই পেয়েছি।,Positive
113,মোবাইলের কোন সমস্যা হয় নাই চার্জ দেয়ার পর।,Positive
114,"১ম দুই  দাগ সাথে সাথে চার্জ উঠে যায়, হায়রে!",Negative
115,প্রোডাক্টটা ভালো ,Positive
116, খারাপ কোয়ালিটির প্রোডাক্ট পেয়েছি। ,Negative
117,দুঃখিত স্যার।,Negative
118,মানও ভালো,Positive
119,বাজার এর চেয়ে অনেক কমে পাওা গেলো । ,Positive
120,বাটপারির একটা সীমা থাকা উচিৎ,Negative
121, কোনো সমস্যা হয়নি ব্যবহার করতে ,Positive
122,আমার ভাল লেগেছে।,Positive
123,ঠকানোর এক ধান্দাবাজি আইডিয়া । ,Negative
124, যত্তসব ঠগের দল ।,Negative
125,"আমার কাছে ভাল লেগেছে,",Positive
126,প্রোডাক্ট এর কোওয়ালিটি ভাল,Positive
127,"নষ্ট প্রডাক্ট পায়ছিলাম,দাম কম ছিল ",Negative
128,ভালো অবস্থায় পেয়েছি।,Positive
129, প্রোডাক্টে কোন সমস্যা নেই,Positive
130,"খুবই সুন্দর সার্ভিস পাচ্ছি,",Positive
131,ওভারঅল সবকিছুই ভাল‌।,Positive
132,বেশ ভালো।,Positive
133, খুবই সন্তুষ্ট প্রোডাক্ট টি পেয়ে,Positive
134,প্রয়োজনীয় পন্য।  ,Positive
135,এই পর্যন্ত কোনো সমস্যা হয়নি ব্যবহার করতে ।,Positive
136,"প্রোডাক্ট এর কোওয়ালিটি খুবই ভাল,",Positive
137,দাম অনুযায়ী পণ্য ঠিক ই আছে । ,Positive
138,ভালো মানের তার দিয়েছে ,Positive
139,নষ্ট মাল পাঠানো হয়েছে,Negative
140,"সবকিছুই ঠিক আছে , ",Positive
141, এটা তা সাপোর্ট করে না।,Negative
142, নষ্ট হেডফোন দিছে দারাজ,Negative
143,পুরাই ফালতু,Negative
144,পণ্য হাতে পেয়ে হতাশ হয়ে গেলাম।,Negative
145,কোন কাজের না।,Negative
146,একদম বাজে প্রোডাক্ট। ,Negative
147,মনে হয় নষ্ট হয়ে যাবে।,Negative
148, সাউন্ড কোয়ালিটি ভাল হবে না জানি। ,Negative
149,এর থেকে ফুটপাথের হেডফোন অনেক ভালো।,Negative
150,১০০ টাকা হিসেবে ভালই,Positive
151,১ নম্বরের ভাওতাবাজি। ,Negative
152,মাইক্রোফোন কাজ করে না,Negative
153,চার্জ ১০ মিনিটের বেশি থাকে না।,Negative
154,এক কানের সাউন্ড ক্লিয়ার না,Negative
155,মন উঠে গেছে পুরাই 😥 ,Negative
156,দাম অনুযায়ী খারাপ না,Positive
157,"ভাল না, ",Negative
158,এ দেখি অনই হয় না।,Negative
159,"খুব বাজে কোয়ালিটি, কিনে ঠকেছি।",Negative
160,তাই বলে এতটা খারাপ হবে ভাবিনি।,Negative
161,দাম হিসেবে ভালোই আছে!,Positive
162,অতি দেরিতে ডেলিভারি।,Negative
163,দাম অনুযায়ী ঠিক আছে ।,Positive
164,সাথে বেস টাও দারুন..,Positive
165,তবে প্রোডাক্টভালি ছিলো,Positive
166,অন্য শপের তুলনায় দাম অনেক বেশী,Positive
167, ফাইজলামি  অর্ডার করছি আজ আট দিন এখন পর্যন্ত পন্য হাতে পাইনি।,Negative
168,সাউন্ড ও খারাপ না!,Positive
169,ভাই hadphone সব থেকে খারাপ,Negative
170,সাউন্ড কোয়ালিটি ভালো.,Positive
171,কম দামে ভাল প্রডাক্ট।,Positive
172, দয়া করে আপনারা কিনেন না ,Negative
173,ফালতু কোয়ালিটি,Negative
174, সাউন্ড কোয়ালিটি ভাল।,Positive
175,দাম হিসেবে সেই জিনিস,Positive
176, সাউন্ড কোয়ালিটি একদমই ভালো না,Negative
177,খুবই কম দামে মোটামুটি মানের হেডফোন।,Positive
178,তেমন ভাল না। ,Negative
179,নিম্ন মানের প্লাস্টিক দিয়ে তৈরি,Negative
180,একদম বাজে একটা হেডফোন.,Negative
181,"খুব বাজে,",Negative
182,রিফান্ডের মারপ্যাচে ফেলে দিয়ে একস্ট্রা কামানোর ধান্ধা না? ,Negative
183,পুরাই ফালতু। ,Negative
184,ভন্ডামি তো ভালোই করেন। ,Negative
185, ছবিতে একটা আর দিসে আরেকটা,Negative
186,এই শপ থেকে প্রোডাক্ট নিয়েন না। ,Negative
187,ব্যাটারি ব্যাকআপ আর সাউন্ড কোয়ালিটিও ভাল্লাগছে!,Positive
188,এই দামে বেস্ট প্রোডাক্ট!,Positive
189,ভুয়া।,Negative
190,কোন ক্রেতা এটা অর্ডার করবেন না।,Negative
191,ফাজলামি করেন? ছবিতে একটা আর দিসেন আরেকটা।,Negative
192, ক্রয় করলে প্রতারিত হবেন।,Negative
193, এই দোকান এর সাথে ডিল না করা।,Negative
194, মানুষ ঠকানোর ধান্দা 😠।,Negative
195,পুরাই ফালতু একটা জিনিস দিছেন আপনারা৷ ,Negative
196,সাউন্ড কোয়ালিটি অনেক খারাপ,Negative
197,আমি আপনাদের কাছ থেকে খুবই ভাল প্রোডাক্ট পেয়েছি।,Positive
198,মানটাও অনেক ভাল।,Positive
199,ব্যাটারি নষ্ট ,Negative
200,বাজে প্রডাক্ট দারাজের উচিৎ এই দোকানকে কিক আউট করা ,Negative
201,ছবি আর প্রডাক্ট আকাশ পাতাল পার্থক্য।,Negative
202,"এই প্রোডাক্ট এর কোয়ালিটি খুবই ভাল, ",Positive
203,"কেনার আগে ভেবে কিনবেন, ",Negative
204,আমার দেখা স্পিকারের মধ্যে খুব ভাল একটা স্পিকার। ,Positive
205,আমি সম্পূর্ণরুপে হতাশ।,Negative
206,"সেদিন থেকেই, আপনারাও বয়কট করুন…",Negative
207,আমার কোন ধরণের কমপ্লেইন নেই। ,Positive
208,চোখ বন্ধ করে কিনে ফেলতে পারেন,Positive
209,খুবই ফালতু এবং বাজে একটা ওয়েবসাইট..,Negative
210,একটা নষ্ট ব্যান্ড পাঠানো হয়েছে আমাকে…,Negative
211,"বাইরে যাব বলা সত্ত্বেও সময় বাড়ায়নি, রিটার্ন নেয়নি…",Negative
212,আমি Daraz.com বয়কট করেছি ,Negative
213,ভালো ছিল,Positive
214,দাম অনুযায়ী প্রডাক্টের ব্যাপারে সন্তুষ্ট,Positive
215,তার প্রায় সবটাই ভূয়া।,Negative
216, আরো অনেক ভাল লাগলো,Positive
217,নিম্মমানের প্লাস্টিক ব্যবহার করা হয়েছে ।,Negative
218,VR Box টা যতটা ভাল ,Positive
219,জিনজিরা তেও এর চেয়ে সুন্দর প্রোডাক্ট বানাইতে পারে।,Negative
220,দাম হিসাবে জিনিটা ঠিকই আছে। 👍👍👍,Positive
221,খাঁটি দুই নাম্বার বস্তু। ,Negative
222,টাকা নষ্ট। ,Negative
223,এইরকম নকল ফালতু প্রডাক্ট আমি কল্পনাও করিনি।,Negative
224, জঘন্য প্রডাক্ট,Negative
225,ফালতু শুধু কেনাই ছিলো আর কিছুই হয় নি,Negative
226,ফালতু একটা জিনিস দিয়েছে। ,Negative
227,দাম এর চাইতেও জিনিসটা সত্যিই খুবই ভালো ছিলো। ,Positive
228,জিনিস কেনায় দারাজ এর রেওপন্সও খুবই ভালো।,Positive
229, রেজুলেশন ভালো ও স্পিকার রয়েছে।,Positive
230,দাম অনুযায়ী এই পণ্য পাওয়া ভাগ্যের ব্যাপার।,Positive
231,প্রাথমিক ভিআর এক্সপেরিয়েন্স নিতে চাইলে ভালই বলা চলে।,Positive
232,দাম অনুযায়ী ভালই। ,Positive
233,খুব ভাল প্রোডাক্ট।,Positive
234,দেখে ভালই মনে হচ্ছে। ,Positive
235,টোটাল বাটপারি।,Negative
236,মোবাইলের স্টোরেজ হিসেবে ভাল কাজ করে।,Positive
237,গুড প্রোডাক্ট! ,Positive
238,মাউস ব্যবহার করে তেমন খারাপ মনে হয়নি ,Positive
239,ভাবছি রিটার্ন না দিয়ে ভোক্তা অধিকার আইনে মামলা করবো…,Negative
240,"রাইস অনুযায়ী বেষ্ট প্রোডাক্ট, thx",Positive
241,আসল ভেবে অর্ডার দিয়েছিলাম. বাকিটা ইতিহাস.,Negative
242,ভালোই লাগলো।,Positive
243,দাম অনুযায়ী অনেক ভালো,Positive
244,"দাম কম, সে হিসাবে পণ্যের মান খারাপ নয়, ভাল।",Positive
245,কম দামে ভালো মাউস ।,Positive
246,অত্যন্ত আকর্ষণীয় এটি।,Positive
247,এই দামের মধ্যে বেস্ট গেমিং মাউস,Positive
248,এই দাম এ ভালই,Positive
249,অল্প বাজেটে যারা কিবোর্ড কিনতে চাচ্ছেন তারা এই কীবোর্ডটি নিতে পারেন।,Positive
250,"কী- বোর্ড খুব ভালো, স্টাইলিশ । ",Negative
251,কি বোর্ডের বিল্ড কোয়ালিটি খুবই নিম্নমানের ।,Negative
252,সময় ও টাকা অপচয় । 😠,Negative
253,কি বোর্ড দ্বিতীয় দিনেই নষ্ট হয়ে গেছে আর মাউস গেলো ৫ দিন।,Negative
254,অসাধারন সার্ভিস।,Positive
255,খুবই ভালো কিবোর্ড। ,Positive
256,তেমন ভালনা,Negative
257,কোয়ালিটি একটু নরমাল বাট ভালোই..!,Negative
258,অনেক  কুল,Positive
259,পার্ফমেন্স মোটামুটি ভাল.,Negative
260,দিও ডিজাইনে তেমন একটা তফাৎ নায়.. ,Positive
261,ভালো। আলোটা অনেক সাদা এবং পরিষ্কার।,Positive
262,"ফটো প্রিন্ট ও ভাল,",Positive
263,ভালোই তবে আলোটা মোবাইলের ফ্ল্যাশ লাইটের চেয়েও কম।,Positive
264,Price অনুযায়ি খারাপ না তবে আলো একটু কম।,Positive
265,কথা এবং কাজের সাথে মিল পাওয়া যায়নি।,Negative
266,দাম অনুযায়ী অনেক ভালো । ,Positive
267, দাম অনুযায়ী ভাল পেয়েছি।,Positive
268,লাইট নস্ট ছিল। ,Negative
269,খুবই ভাল মানের পন্য ,Positive
270,আসল পণ্য পয়েছি।,Positive
271,খুব সল্প দামে প্রিন্টার টি পেলাম।,Positive
272,"প্রিন্টিং স্পিড ভাল, ",Positive
273,আমার কাছে এটা অসাধারণ মনে হয়েছে,Positive
274,ডোর আটকানো যায়না।,Negative
275,এখন ও পর্যন্ত ভালোই দেখছি বাকিটুকু আল্লাহ মালুম।,Positive
276,যা রীতিমতো বিভ্রান্তিকর,Negative
277,এত কম দামে এতো ভালো টিভি ভাবাই যায় না,Positive
278, আমার পরিচিত যারা ওভেন কিনেছে তারা সবাই এইটা কিনতে নিষেধ করেছে।,Negative
279,দুই নাম্বারি করলে ভবিষ্যতে না খেয়ে মরতে হবে। ,Negative
280,এই ওভেন টা ভালো না। ,Negative
281,"আপনাদের সার্ভিস খুবই ফালতু, ",Negative
282,ভালো মেশিন ,Positive
283,খারাপ না,Positive
284,এভাবে offer এর নামে মানুষ ঠকাচ্ছেন কেন?,Negative
285,দাম অনুসারে ঠিক আছ্র।,Positive
286, প্যাকেজিং টা পছন্দ হয়েছে।,Positive
287,অনেক ভাল ঘড়ি,Positive
288,আমি সত্যিই বাকরুদ্ধ..!,Positive
289,বাহ..! অনেক সুন্দর ঘড়ি পাঠিয়েছেন..! 👏 ,Positive
290,উল্টাপাল্টা সেটাপে চায়না ঘড়ি ডেলিবারী দিসেন,Negative
291,দারুন একটা ওয়াচ। ,Positive
292,"এই নিন ৫  star, কারন যেমন দেখিয়েছেন তেমন জিনিস ই পেয়েছি",Positive
293,হাতে পড়লে প্রিমিয়াম ফিল আসে।,Positive
294,আপনাদের প্রোডাক্ট পেয়ে আমি খুশি। ,Positive
295,অনেক ভালো মানের ঘড়ি,Positive
296,ঘড়িটা ভাল।আর ছাঁড়ে পাইছি।,Positive
297,কম দামে ভাল একটা ঘড়ি।,Positive
298,"অনেক ভাল মানের একটি ঘড়ি,",Positive
299,"ভালো ছিলো, মানানসই",Positive
300,খুব খারাপ ঘড়ি আমি ৩ দিন ও ব্যবহার করতে পারলাম না।,Negative
301,মিল নাই অন্য সব কিছু ছবির সাথে।,Negative
302,এর থেকে খারাপ বেল্ট আর কিছু নাই,Negative
303,"এখন আর চলে না, একদন নষ্ট হয়ে গেছে ",Negative
304,ঘড়ির বেল্ট জঘন্য ,Negative
305,picture এর সাথে product এর অনেক পার্থক্য,Negative
306,আমার কাছে অনেক ভাল লেগেছে ঘড়িটা। ,Positive
307,বাটপার।,Negative
308,শুধু টাকা নষ্ট করলাম। ,Negative
309,ঘরিটা সুন্দর,Positive
310,ভালোই মনে হচ্ছে।,Positive
311,আমার পারসোনালি নেভীফোরসের ওয়াচ অনেক ভালো লাগে,Positive
312, এর কোয়ালিটি খুবই ভালো।,Positive
313,এটি নিয়ে আমি অনেক সন্তুষ্ট,Positive
314,এই দামের মধ্যে সুন্দর একটি ঘড়ি..,Positive
315,দামী জিনিস যেমন হয় আরকি,Positive
316,ফরমাল ড্রেসের সাথে ম্যাচ করে ভালো।,Positive
317,"সেরা সেরা সেরা,.......",Positive
318,আর গিফট বক্স ও দেয়নাই। সব বাটপার..,Negative
319,খুব ভালো একটা প্রডাক্ট ,Positive
320,কথা আর কাজে কোন মিল নাই। ,Negative
321,"প্রোডাক্টটি এককথায় অনেক ভালো , ",Negative
322,ভালো একটি বেল্ট,Positive
323,অনেক সুন্দর কোয়ালিটি দারুন,Positive
324,অনেক ভালো লাগছে।,Positive
325,ভাল...লাগছে...ব্যবহার করে.... ,Positive
326,বেল্টটি পছন্দ হইছে।,Positive
327,বাজে৷ খুব বাজে৷,Negative
328,আমার কাছে ভাল কোয়ালিটি মনে হয়েছে,Positive
329,অবশ্য খারাপ না....!!,Positive
330,"যেমন দেখেছি, ওই অনুযায়ী একই বেল্ট পেয়েছি। ।",Positive
331,দাম অনুযায়ী ঠিক আছে।,Positive
332,এটা জেনুইন লেদার না,Negative
333,এইভাবে মানুষকে খারাপ প্রোডাক্ট দিলে মার্কেটে টিকবেনা বেশীদিন,Negative
334, আপাতত পছন্দ হইছে।,Positive
335,পুরাই ফালতু 😌 এর চেয়ে ফুটপাথ এ ভালো প্রডাক্ট পাওয়া যায় ১০০  টকার মধ্যে। ,Negative
336, ডিজাইন ও সুন্দর।,Positive
337,বেল্ট এর কোয়ালিটি ভালো ছিল,Positive
338,ভালো কে ভালো বলতেই হবে।,Positive
339,দামের তুলনায় ভালো।,Positive
340,এই দামে খারাপ না,Positive
341,বেশী একটা ভালো না,Negative
342,দাম অনুযায়ী খুবই ভাল মানের এই বেল্ট।,Positive
343, কোন রকম চিন্তা ভাবনা না করেই কিনতে পারেন।,Positive
344,ব্যবহার এ ও কোনো সমস্যা হয়নি।,Positive
345,এই দামের মধ্যে অনেক ভালো। সেটিসফাইড।,Positive
346,এই বেল্ট সত্যিই অনেক ভালো। ,Positive
347,"অনেক ভাল ছিল, ঠিক যেমন দেখেছি তেমন এ। ",Positive
348,এতো কম দামে আমি এটা কিনতে পেরে খুবই সন্তুষ্ট।,Positive
349,এত কম দামে এটি কিনতে পেরে আনন্দিত।,Positive
350,চোখ বন্ধ করে এদের কাছ থেকে প্রোডাক্ট নেয়া যায়।,Positive
351,"খুব বাজে ও নিম্ন মানের, কোয়ালিটির পণ্য। ",Negative
352,যদি ও অরজিনাল লেদার না তবে দাম হিসাবে প্রোডাক্ট খুব বেশী ভাল।,Positive
353,পণ্যের মান যথেষ্ট ভাল।,Positive
354,মনের মত পণ্য পেয়েছি। গুনগত মান অতুলনীয়। ,Positive
355,আমার কাছে এই পর্যন্ত সবচেয়ে ভাল লেগেছে। ,Positive
356, ক্লোন ওয়ালেটের মধ্যে এটার মান সবচেয়ে ভাল।,Positive
357,ওয়ালেটটির সবকিছুই অামার ভালো লেগেছে।,Positive
358,যেমনটা ভেবেছি ঠিক তেমনই।,Positive
359,ঢাকার মধ্যেই বাটপারি,Negative
360,মানিব্যাগটা বেশ সুন্দর এবং ফ্যাশ্যানেবল। ,Positive
361,"কোন মানেই হয় না, এটা কেনার। ",Negative
362,আমি এটা ফেলে দিয়েছি।,Negative
363,বাটপারির  একটা  সীমা থাকে।,Negative
364,"বাজে লেদার, ",Negative
365,ছবির মত প্রোডাক্ট আমাকে দেয়া হয়নি। ,Negative
366,নিলেই ধরা খাবেন।যেমন আমি খেলাম।,Negative
367,খুবিই নিম্নমানের পন্য। ,Negative
368, over all ভালো,Positive
369,৪০ টাকা দামের খুবিই নিম্ন মানের প্রোডাক্ট। ,Negative
370,ডিজাইন সুন্দর। ,Positive
371,material টা মোটামুটি।,Positive
372,কেউ কিনবেন না এই প্রোডাক্ট। ,Negative
373,Design খুবই সুন্দর। ,Positive
374,প্রোডাক্ট কোয়ালিটি বাজে। ,Negative
375,রোডাক্ট টি ভালো তবে দাম একটু বেশী মনে হলো। ,Positive
376, মিথ্যা কথা বলে প্রোডাক্ট বিক্রি করেন।,Negative
377, আপনার কোম্পানির উপর নেতিবাচক প্রভাব পড়বে,Negative
378,আমি খুশি।,Positive
379, একদম থার্ড ক্লাস মার্কা একটা জিনিস,Negative
380,ব্যবহার করে আমার ভালো লাগছে। ,Positive
381,"এভাবে মোবাইল রাখা যায় কথা না বলে বিক্রি করাই ভালো ছিল।।
",Negative
382,টাকা হিসেবে প্রোডাক্ট এর মান অতটা ভালো না।,Negative
383,ভালো পন্য। ,Positive
384,আমি সবাইকে অনুরোধ করবো এটি না কেনার জন্য,Negative
385,দুইটার কোয়ালিটিতে গড়মিল আছে,Negative
386,ভালো ছিলো। ,Positive
387,মানি ব্যাগ টা খুব নরমাল। ,Negative
388,কোয়ালিটি দাম হিসেবে ভালোই.,Positive
389,প্রোডাক্ট গুলোর কোয়ালিটি দামের তুলনায় ভালো ছিল না।,Negative
390,quality r very poor...pic r সাথে কোন মিল নাই..,Negative
391,"পাঞ্জাবীর কোয়ালিটি খুবই বাজে ছিল, না ",Negative
392,এভাবে কাউকে ঠকাবেন না দয়া করে।,Negative
393,খুবই পাতলা কাপড় & এক ধোয়াতেই নষ্ট হয়ে গিয়েছে????????,Negative
394,ফালতু প্রোডাক্ট । ,Negative
395,এসব লোভনীয় অফার দিয়ে কোনো কাস্টমার কে ঠকাবেন না ,Negative
396,আম্মু গালি দিয়েছে প্রচুর এত খারাপ কাপড় দেখে।,Negative
397,গেঞ্জির পিছনে একটা ফুটো।এত বাজে হবে ভাবতেই পারিনি।,Negative
398,কোয়ালিটি খারাপ,Negative
399,কাপড় একেবারেই ভাল না।,Negative
400,একদিন ধোয়ার পর ফ্যাকাশে হয়ে গেছে।,Negative
401,দামের ক্ষেত্রে সন্তোষজনক কাপড়। ,Positive
402,সিম্পলের মধ্যে গর্জিয়াস 😂😂😂 মোটা মুটি চলে।,Positive
403,খুব বাজে একটা প্রোডাক্ট। ,Negative
404,ছেড়া ছিল গেঞ্জি,Negative
405,কাপড় টা খুব একটা ভালো না।,Negative
406,কোয়ালিটি খারাপ,Negative
407, ভুল পণ্য দেওয়া হয়েছে,Negative
408, দারাজের সেবা পেয়ে আমি সন্তুষ্ট নই ।,Negative
409,আর দারাজের পণ্যের সাইজের সমস্যা আছে ।,Negative
410,আমি আমার চারশ টাকা পুরোপুরি নষ্ট হয়ে গেছে এইটা কিনে। ,Negative
411,কাপর একটু ভালো না।,Negative
412,যে পণ্য অডার করা হয়েছে তা আমি পাইনি। ।,Negative
413,overall ভালো ছিলো,Positive
414, এরাই মার্কেটপ্লেস টা নস্ট করতেছে,Negative
415,কিন্তু কাপড় আশানুতিত হয় নাই।,Negative
416, কাপড় টা আর একটু ভালো দেওয়া উচিত ছিল। ,Negative
417,ফালতু একটা টি শার্ট। ,Negative
418,"পুরাই ফালতু, অর্ডারের সাথে প্রোডাক্টের কোনো মিল  নাই",Negative
419,ডেলিভারি খুব দ্রুত দিছে ,Positive
420,লুল কোয়ালিটি,Negative
421,কোয়ালিটি ভালো না,Negative
422,কোয়ালিটি ভালো,Positive
423,যা ভাবসিলাম তার থেকে অনেক ভালো ,Positive
424,পুরই লুল,Negative
425,কাপড় নিম্নমানের।,Negative
426, ওভারঅল ভালো,Positive
427,সুতি কাপড়ের ভালো মানের জামা।,Positive
428,এটা মোটেও ফিটিং না।প্রচন্ড ডোলা,Negative
429, কোন সমস্যা হয় নাই। ,Positive
430,আর pic এ যেমন দেখায় বাস্তবে তত ভালো দেখায় না।,Negative
431,"অনেক ভাল লেগেছে, কোনো সমস্যা নেই। ",Positive
432,কাপড়ের মান খুব একটা ভাল ছিল না।,Negative
433,কাপড় এবং প্রিন্ট কোয়ালিটি ভালো ❤,Positive
434,একেবারে বাজে ছিল,Negative
435,ছবিতে যতোটা সুন্দর আসলে তেমন না,Negative
