,bangla,banglish
181,অতিথিপরায়ণ,Otithiporayon
182,রাখঢাক,Rakhdhak
183,দ্বাদশীতে,Dadoshite
184,মহেশই,Moheshe
185,ঢেউ,Dheu
186,আওয়ারে,Aware
187,শসা,Shosha
188,পানপাত্র,panpatro
189,দত্তবাদ,dottobad
190,আদ্যাপীঠে,Jewel
191,সমন,Somon
192,ফারহা,Farha
193,রুমানি,rumani
194,গৃহস্থালীর,Grihosthalir
195,প্রায়শ্চিত্ত,Praoschitto
196,হয়েছে—,Hoeche
197,সৌরভ,Sourav
198,আর্মি,Army
199,বেশিরভাগের,Besirvager
200,মেরুদণ্ড,merudonda
201,রক্তেও,rokteo
202,পুনরুদ্ধারের,punorudharer
203,ইনবক্স,inbox
204,হোমটাস্ক,Home task
205,সংস্করণই,shongskoron e
206,মশকরাও,moshkorao
207,আঁকবেন,aakben
208,রোজগার,rojgaar
209,চোলাইএর,cholaier
210,দাগগুবাতি,dagubati
211,পড়ুুন—,Kobita
212,টিসকা,Kobita
213,প্রকাশও,prokashok
214,বিক্ষোভে,bajar
215,ক্যাশব্যাক,Market
216,দেবল,debol
217,পেটে,pete
218,আত্মদানের,attodaner
219,তহবিলও,tohobilo
220,নীলাংশি,nilangshi
221,কেলকারের,kelkarer
222,দাল,dal
223,টোটোর,totor
224,নেভেহ্‌,heveh
225,কানাডাতেই,canadatei
226,অ্যাভয়েড,avoid
227,টিন্ট,tint
228,মিশবে,mishbe
229,ফেস্টিভ্যালএর,festivaler
230,পোলার্ডও,polardo
231,ইয়েরওয়াড়া,yerwara
232,মাততেন,matten
233,কষাকষিতে,koshakoshite
234,মানবসমাজে,manobsomaje
235,গুটিকতক,gutikotok
236,তাঁবুর,tabur
237,অকল্পনীয়,okolponiyo
238,নন্দরাম,nondoram
239,INDIA,INDIA
240,হেভেন,heaven 
241,প্রমীলারা,promilara
242,ষাটপলসা,shatpolsa
243,নাচমহল,nachmohol
244,জড়িয়েছে,joriyeche
245,স্থানীয়,sthaniyo
246,ছশোর,choshor
247,ছেলেপিলেরাই,chelepilerai
248,আঁতাতে,atate
249,ক্রিকেটারদেরর,kriketarderr
250,শীর্ষনেতারাও,shirshonetaraw
251,দু্র্দান্ত,durdanto
252,হারসেল্ফ,harself
253,কমিশনারেটেও,komishonareteo
254,মাঠই,mathi
255,মৌলবাদিশক্তির,moulobadishoktir
256,পর্ণকুটিরই,pornokutiri
257,সুচ,suc
258,উইকেটকিপারদের,wiketkiparder
259,পেনকা,penka
260,গোলপার্ক,golpark
261,সেশন,session 
262,অব্যবহিত,obyabhit
263,শিয়াকে,siyak
264,ঘেঁসে,
265,বাজারিদের,bajaridher 
266,নগেন্দ্রের,nagendra 
267,আঙুলই,angule
268,উলুবেড়িয়াতেই,uluberia tei
269,মাদ্রাস,madras
270,হন,hon
271,याद,pyad
272,স্থানই,sthanoi
273,চাকি,chaki
274,এওপিএল,upl
275,হাবের,haber
276,সাঁজো,
277,বন্দোবস্তটা,bondobostota
278,অনিন্দ্যদা,aninda da
279,বিজ্ঞানকে,bigyane
280,মোহিত,mohit
281,খোকাবাবু,khokababu
282,ছেড়েনি,chereni
283,লুন্ঠিত,luntito
284,কীর্তিকেও,kirtikeo
285,৮০৯,809
286,পরশুদিন,porosudin
287,খঁজতে,khojte
288,চিংড়ি,chingri
289,সরলেই,sorlei
290,ইতিপূর্বেও,itipurbeo
291,চুলকে,chulke
292,অধিকতর,odhikotor
293,৫৩১৯৮,52198
294,কৃষক,krishok
295,তিপ্পান্নর,tepantor
296,স্কাইপ,skype
297,ইনিংশ,innings
298,অলিপাব,olypub
299,ব্যকফুটে,backfoot
300,জনবিরোধী,jonbirodhi
301,অন্নাকে,onnake
302,চিত্রবাণী,chitrobani
303,স্বপ্নপূরণ,sopno puron
304,অর্থসাহায্য,ortho sahajjo
305,ক়ৃষিকা,krishika
306,হোমমেড,Homemade
307,টানেলিং,Tunneling
308,লাস্যে,lassye
309,৩০০ফুট,300 foot
310,হাতুড়ে,hature
311,অবতরণকে,obotoronke
312,জলাধারটিতে,jolodharatite
313,ছাড়ানো,charano
314,পানেসরকে,panesoroke
315,আইনস্টাইনদের,einsteinder
316,মুজিবকন্যান,mujibkonnyan
317,চক্রান্তের,chokranter
318,আদর্শে,adorshe
319,লোকবহন,lokbohon
320,হারাননি,Haran ni 
321,জয়দেবের,Joydeber
322,পেটেন্টের,Patent er 
323,নামঘরে,Namghore
324,বিশ্বজিতকে,Biswajit ke 
325,ভিভান,Bhibhan 
326,চার্জশিটেরর,Chargesheet er 
327,মণিদুটোর,Monidutor
328,ডুয়ার্টের,Duarter
329,স্পষ্টভাষায়,Sposhtobhashay
330,অভিজ্ঞ়,Obhiggo
331,জন্মদিনগুলো,Jonmodingulo
332,শেলি,Sheli
333,পাওয়াও,Paoao
334,ধর্ষিতার,Dhorshitar
335,ছোটগল্পেরা,Chhotogolpera
336,চলা,Chola
337,ছবিটাকে,Chobitake
338,বাক্যও,bakko
339,শুল্কযুদ্ধ,shulkojuddho
340,গর্গ,gorgo
341,পিকেটিংও,picketingo
342,কারাটাই,karatai
343,ফোক,folk
344,যেটুকু,jetuku
345,মানকড়,mankod
346,ক্রিকেটে,crickete
347,সাবাস,shabash
348,নলকূপের,nolkuper
349,জীবন,jibon
350,মাধবের,madhober
351,গুদামে,gudame
352,চমকিতও,chomkito
353,উপায়ন্তর,upayontor
354,ছুড়বেন,chudben
355,তোদের,toder
356,আলামিনের,alaminer
357,উছ্বসিত,ucchoshito
358,লালরাম,lalram
359,৭৩৯,739
360,কথাগুলির,kothagulir
361,পদ্ধতিটা,poddhotita
362,গডকড়ীও,godkodio
363,ভিউর,viur
364,বনদফতরে,bondofotore
365,পৌঁছয়,pouchoi
366,শফিকুল্লা,shofikulla
367,বা়ড়িতে,badite
368,ফ্যাশনেব্‌ল,fashionable
369,মহাকাশেরই,mohakasheri
370,বচ্চনরা,bocchonra
371,মূলি,muli
372,সারাবছর,sharabochor
373,মার্কাস,marcus
374,অ্যাটলাস,atlas
375,প্রবচন,probochon
376,সখীত্বের,shokhitter
377,চিনিয়েছিলেন,introduced
378,কম্বিনেশন,combination
379,বিদীপ্তা,bidipta
380,সংক্রমণও,sankraman
381,এগপ্লান্ট,eggplant
382,ম্যাগাজিনের,kobita
383,ধন্দে,dhondhe
384,পালানো,palano
385,কর্পোরেটের,corporeter
386,ধরেনি,dhoreni
387,রৌদ্রকরোজ্জ্বল,roudrokorojjol
388,দেখলেই,dekhlei
389,মেয়াদকে,meyadke
390,বাঁচায়,bachay
391,টিমোথি,Timothi
392,সুপরিচিত,Shuporichito
393,নাটকের,Natoker
394,খুদেরা,Khudera
395,‌যানই,Jan i 
396,নিরাপত্তাও,Nirapottao
397,রূপোর,Rupor
398,বহ,Boho
399,জ্যোতিষবাণীতে,Jyotishbanite
400,মামুদকে,Mamudke
401,সেইসূত্রে,Sheishutre
402,মোর্চারা,Morchara
403,কেন্দ্রিয়,kendriya
404,ইনস্টা,Insta
405,সিটিস্ক্যান,CT scan
406,সুবন্দোবস্ত,Shubondobosto
407,নি্জস্ব,Nijossho
408,ধীর,Dheer
409,সাংসদকেও,Shungshodkeo
410,আইনমন্ত্রীও,Ainmontrio
411,জোয়েল,Joel
412,ফ্যানবক্স,Fanbox
413,অটোবানএও,Autobunao
414,নগদে,Nogode
415,আটর,Ator
416,নাট্যমুহূর্ত,Nattyomuhurto
417,রে়ডমেন,Redmen
418,বুদ্ধদেবকেই,Buddhodebkei
419,হিমার,Himar
420,রোমাঞ্চকর,Romanchokor
421,ইনোগ্রেশনে,Inauguration a
422,কোহালি,Kohali
423,বাঁধবেন,badhone
424,খাতাতেই,Bhalobasa
425,গডফাদারকে,Godfatherk
426,পার্টিগুলিকে,Partygulike
427,মারসারি,Marsari
428,তাব্রিজ,Tabrij
429,এটি,Ati
430,সুমনের,Sumaner
431,সমাজবিদ্যা,Samajvidya
432,ভিত্তিতে,Bhittite
433,মাপেননি,Mapenni
434,অ্যাপোলো,Apollo
435,অংশকেও,Angshoke
436,স্বদেশীদের,Swadeshider
437,সোর্সদের,Sourceder
438,বাপের,Baper
439,উসেইন,Usain
440,বানওয়ারিলাল,Banwarilal
441,আন্দোলনের,Andoloner
442,বীরপুরুষ,Birpurush
443,মাফলার,Muffler
444,আর্তির,Artir
445,পরীক্ষিতভাবে,Porikhitobhabhe
446,লিমিটও,Limito
447,কিসেরই,Kiseri
448,জোগাবেন,Jogaben
449,সাঁতারুদের,Santaruder
450,স্টাইলটা,Styleta
451,ছবি,ami
452,যশকেই,tomar bari koi
453,সশরীরের,soshorirer
454,প্রসিডেন্সির,presidencir
455,ল্যাংডনের,lyangdoner
456,সম্মতি–সহ,sommoti-swoho
457,পুণেরি,puneri
458,আউটস্টেপে,outstepe
459,ডেভলপমেন্ট,development
460,হরিশচ্যাটার্জি,horishchaterjee
461,ভর্তসনা,Vortsona
462,বিদ্রূপ,satire
463,পাসপোর্টগুলির,passports
464,পচতে,to rot
465,কথাটা,the word
466,সুদীপবাবুর,Mr. Sudip's
467,শোকপ্রকাশকেও,even in mourning
468,কাউন্সিলরা,councilors 
469,নাটকীয়তায়,dramatic
470,বানিয়েছিলাম,made
471,ফ্যাক্ট,fact
472,ক্ল্যাম্প,clamp
473,তৎক্ষণাৎ,instantly
474,বাংলার,of bangla
475,জন্মেছি,have been born
476,সহপঠীরাই,classmates
477,বেছেছিলেন,chosen
478,টিকটিকির,lizard's
479,পাঠিয়েছিল,sent
480,শৌচ,latrine
481,শিকারিরা,hunters
482,জেসন,
483,মজেছে,indulged
484,সেবিষয়ে,in that matter
485,একখণ্ড,a volume
486,উত্তরসূরিদের,successors'
487,পারলেন,able
488,সজ্জন,gentleman
489,জলমগ্ন,water-logged
490,পেঁয়াজকে,onion
491,অর্নাস,honours
492,তাগড়াই,vigorous
493,ছুটতে,to run
494,দাবিগুলির,demands'
495,ব্যবহারকারিদের,users
496,দেখিয়েছিলেন,had shown
497,নিস্তার,rescue
498,শীততাপ,air-conditioned
499,কিপলিং,Kipling
500,রাজাবাজার,Rajabazar
501,মুভই,Movie
502,ছন্দে,in rhythm 
503,ফ্রানসিস্কো,Francisco
504,পাল্টাইনি,not changed
505,পাঠালো,sent
506,১৭৩৮,1738
507,১৬৬,166
508,বাগিচায়,in the garden
509,মনোরোগীকে,psychiatric patient
510,প্রকল্পগুলিও,Plans
511,সাপেদেরও,snakes
512,তারকের,taroker
513,জেনাইটিসের,jenasaitiser
514,সৌদিতে,soudite
515,আলোচ্যসূচিতেও,alocchoshuchiteo
516,ঘূর্ণিঝ়ডের,ghurnijhorer
517,থাগস,thugs
518,কনস্টেবলকে,constableke
519,৯৯,99
520,স্ট্যাসি,stacy
521,শুভ্রাংশুও,shubhrangshu
522,ফাঁরা,
523,ওয়াটকিনস,watkins
524,বুধপুর,budhpur
525,ফিল্ডার,filder
526,কম্প্যাক্টরে,compactore
527,ভিভো,vivo
528,টেকটনিক,techtonic
529,জোরদার,jordar
530,৭০০০০৬,700006
531,আলোকচিত্রের,alokchitrer
532,আদৌও,adou
533,অভ্যেস,obbhesh
534,আলাপনবাবু,alaponbabu
535,পাগলপারা,pagolpara
536,নববর্ষের,noboborsher
537,ভারতলক্ষ্মী,bharotlokkhi
538,ভাঙড়ে,bhangore
539,কেবিনেও,kebineo
540,প্রাজ্ঞতার,praggotar
541,চালানোক,chalanok
542,গতকয়েকদিন,gotokoyekdin
543,পরিবেশবিদদের,poribeshbidder
544,নাদিয়াকে,nadiake
545,সামগ্রীই,shamogrie
546,ভাস্করবাবুও,bhashkorbabuo
547,কেনাটা,kenata
548,পাঠ্যক্রম,patthokrom
549,অঙ্গদাতা,ongodata
550,টেস্টেও,testeo
551,যাত্রাপথের,jatrapother
552,ভাজেন,bhajen
553,কৃষিপ্রধান,krrishiprodhan
554,শিশু‌কে,shishuke
555,প্রকাশনা,prokashona
556,মর্ফড,morphed 
557,বিষ্ঠার,bishthar
558,গ্লাভসে,glovese
559,ল্যান্ডলর্ড,landlord
560,র‌্যামোসই,ramose e
561,অবাঙালি,obangali
562,প্রাণীটি,praniti
563,একজোট,ekjot
564,খাদ্যপণের,khaddoponner
565,গন্তব্যে,gontobbe
566,ডর্নের,dorner
567,চালানোরও,chalanoro
568,দাবিদারদের,dabidarder
569,প্রতিবাদটি,protibadti
570,পুজো—,pujo-
571,রঞ্জন,ronjon
572,পিস্তল,pistol
573,টিভি,tv
574,রেশনকার্ড,rationcard 
575,উপকরণ,upokoron
576,বিদ্যুত্,bidyut
577,হোমটি,homti
578,দেশটাই,deshtai
579,নিয়েই,niyei
580,ডানহাতে,danhathe
581,টেনিদাকে,Teni da ke
582,প্রতুল,Pratul
583,রেখেছিলাম,rekhechilam
584,সভাটি,Sabha ti
585,বিশ্বক্লাব,Bishwa Club
586,চরিত্রগুলিও,Charitro guli
587,খেলছেন,khelchen
588,কুমীর,Kumir
589,খোলেন,Kholen
590,খোলেন,Kholen
591,কয়েনগুলি,Coinguli
592,সহিসপুর,Shohishpur
593,পোস্টারই,Posteroi
594,আত্মঘাতে,Atmoghatey
595,বিশেশ্বর,Bisheshwar
596,যাবার,Jabar
597,মক্কাকে,Mokkake
598,GSTর,Gstraw
599,সায়েশা,Sayesha
600,চরণে,Charane
601,পাপিয়াকে৷,Papiyake
602,শাশুড়িও,Sasurhio
603,থানাকে,thanake
604,ট্যাক্সিস্ট্যান্ডে,aami
605,কৃতকর্মের,ami
606,তারিয়েই,thik aache
607,মোহনিয়াকে,mohniyake
608,পুনর্দখলে,Punordokhole
609,২০২২,2022
610,নদিনের,Nodiner
611,বিশ্লেষন,Bisleshon
612,সিগুরোসসন,Sigurosson
613,বাজানোয়,Bajanoy
614,বাজানোয়,Bajanoy
615,বগলে,Bogole
616,সঙ্গগুণে,Songogune
617,পলিও,Polio
618,দূরান্তে,Durante
619,কৃষ্ণগঞ্জের,Krishnoganjer
620,প্রতিযোগিতার,Protijogitar
621,আর্তনাদে,Artonade
622,দ্বিধাবিজড়িত,Didhabijorito
623,পদ্মাবৎ,paddabot
624,যুবভারতীতেই,jubovarotitei
625,ডোকলামের,doklamer
626,ম্যাকিলরয়,makilroy
627,হেডেনের,hedener
628,পদ্মেই,poddei
629,যুবকেন্দ্রে,jubokendre
630,পার্লামেন্টেরিয়ানস,parlamenterians
631,১০২,102
632,দৃশ্যপটের,drisshopot
633,লোলা,lola
634,মোদীদের,modider
635,কয়েকের,koyeker
636,আমান্ডা,amanda
637,পালংদারকেও,palongdarkeo
638,পাতলেও,Patleo
639,পরদেশ,Pardesh
640,শ্রীজানার,Srijanar
641,বৌবাজার,Boubajar
642,জনসাধারনের,Janashadharon
643,সন্তোষ,Santosh
644,প্রশংসা,appreciate
645,শর্ত—,sorto
646,মুকুন্দপুরসহ,mukundopursoho
647,চালাবো,chalabo
648,এন্টালি,entally
649,আইএমআই,imi
650,ইয়ারএর,yaarer
651,উঠেছে,utheche
652,প্রত্যাবর্তনকেও,prottabortankeo
653,খণ্ডাংশ,khondasho
654,আশ্বর্যের,ashorjer
655,উদ্বাস্তুদের,uddhastoder
656,লোকটার,loktar
657,তরিকাটা,tarikta
658,প্রশংসিতও,proshongshito
659,লণ্ডভণ্ড,londobhondo
660,লম্পট,lompat
661,ব্রাজিলে,brazile
662,ঋতকে,rhitke
663,ভালমন্দ,bhalomondo
664,থেতলে,mundu
665,স্টুটগার্টে,stuttgart
666,ব্রাঞ্চকে,branch k
667,হত্যাচেষ্টায়,hotta cheshta
668,পরদল,porodol
669,পচাত্তরের,pochattor
670,আবর্তন,aborton
671,ট্রলারটিরও,troller tir o
672,জনমানব,jonomanob
673,কিলোলিটারে,kilo litre
674,ঘনঘোর,ghanoghor
675,হেনস্থার,vivek
676,এপ্রিল,alu
677,করেছিল,korechilo
678,বিকল্পনীয়,bikolponiyo
679,কৈলাসজি,koilasji
680,পাঁচতলার,panchtolar
681,চিন্ময়ী,chinmoyee
682,মিস,miss
683,বোট,boat
684,তাহেরের,taherer
685,স্তনদায়ী,Mammal
686,মহান্তি,mohanti
687,ছোটপরদা,chotoporda
688,ফেনে,phone-e
689,আটকালে,atkale
690,সুলতাদি,sulotadi
691,ঝড়খালির,jhorkhali
692,মানুষটি,Manush ti
693,लिए,Liye
694,দেশত্যাগী,Desh tyagi
695,দুপক্ষের,Dupokhher
696,কম্প্যাক্টর,Compactor
697,অ্যাপোলোয়,
698,পণ্ড,Animal
699,আত্মাদেরও,Afterlife as well
700,বিলোলেন,Distributed
701,দুঃখও,Sadness
702,শ্রীকান্তদার,Srikanta's
703,দুদশক,Twenty years
704,ভেঙ্গে,Broken
705,সদর্থক,Sodorthok
706,রতনদের,Ratander
707,অববাহিকাকে,Obobahikake
708,গোদারা,Godara
709,চর্চিত,Chorchito
710,ভ্যাটেও,Bhateo
711,গিলেমেটে,Gilemete
712,ব্রজমোহন,Brojomohon
713,গিক্সার,Gixaar
714,ভবানীপুরের,Bhobanipurer
715,“I,I
716,ক্লাবদের,Clubder
717,বিটকয়েনকে,Bitkoyenke
718,পৌছাবে,Pouchabe
719,অধ্যায়টিকে,Odhyaytike
720,FAN,fan
721,প্যাড,pad
722,ভূভারত,Vuvarot
723,আর্সেন,Arsen
724,বিচ্ছিন্নভাবে,bichcinnovabe
725,কোচেরাই,kocherai
726,আসরের,ashrer
727,পাথরা,pathra
728,শাস্ত্র,shastr
729,রাজনীতিটাই,rajnititai
730,প্রাপ্তিকে,praptike
731,তর্কে,torke
732,কলোনির,kolonir
733,কাউন্সিলরদের,councilorder
734,থাকায়,thakai
735,বোমাবাজির,bomabajir
736,রাঠোর,rathor
737,সপ্তর্ষিরও,soptorshiro
738,লোকেশনও,Location o
739,প্রতিরোধে,Protirodhe
740,৩২৯,Tinsho uno tirish
741,সাবলাক,Sabalok
742,বেগুসরাইয়ে,Begusoraiye
743,ইন্টারন্যাশন্যাল,International
744,ভাড়া,Bhara
745,কাঁপিয়েছিল,kapiyechilo
746,দর্শকের—,dorshker
747,“দুই,dui
748,মঞ্চস্থ,moncho
749,সর্বনিন্ম,sorbonimno
750,কমিশকে,komiske
751,ঘোষপাড়ার,Ghoshparar
752,লাগাব,Lagab
753,আয়েশা,Ayesha
754,পাড়াগাঁয়ের,Paragnayer
755,চোলিও,cholio
756,গ্যাসেও,gaseo
757,তপু,Jibon
758,কৃত্তিবাসের,Khata
759,ঋষিদের,বোবা
760,শ্রীজিত,Srijit
761,অ্যারোগ্যান্ট,Arrogant
762,ক্রোরস,Crores
763,মনীন্দ্র,Manindra
764,তৃপ্তিদায়ক,Triptidayok
765,চিকেনগুলোয়,Chickenguloy
766,অগ্রগতিতে,Agrogotite
767,প্লাসএর,Plus er
768,কষ্টি,Kosti
769,সঙ্গীতশিক্ষিকার,Sangeet shikkhikar
770,ধাপই,Dhapai
771,ওবাই,Obai
772,প্রতিষ্ঠানেও,Protisthaneo
773,পেয়েছে,Peyeche
774,কহতে,anirban
775,অট্টালিকার,Ottalikar
776,সেনেটরদের,senaterder
777,🗣️,kashi?
778,ট্রাইব্যুনালের,Tribunaler
779,সংকলনমূলক,shonkolonmulok
780,আখতার,akhtar
781,দেখে,dekhe
782,ভিসার,visar
783,একমাত্র—,ekmatro
784,আইডিএফ,IDF
785,ফ্লেমিংয়ের,fleminger
786,আন্দোলনরত,andolonroto
787,উৎসাহে,utshahe
788,আখোঁ,akho
789,সুদু,sudu
790,দিনরাত্রি,dinratri
791,বোঝেনি,bojheni
792,ট্রফিপ্রাপ্তির,trophy praptir
793,সচিনকেই,sachin kei
794,দেখাই,dekhai
795,নিলে,nile
796,রেবতি,reboti
797,সারমেয়রাই,sharomeyorai
798,প্রত্যের,protyer
799,মাখানো,makhano
800,মহমেডানে,mohamedane
801,একসুর,ekshur
802,দ্বিতীয়,ditiyo
803,মহিলারা,mohilara
804,শোরগোলে,shorgole
805,ভৌতিক,bhoutik
806,নির্ভয়াকাণ্ড,kalke
807,আইল্যান্ডসে,ajke
808,নাহাতা,nahata
809,হোয়াটস,whats
810,বিদ্যাধারা,bidhyadhara
811,রিসার্চএর,Nirjon
812,ফলায়,Shohaay
813,চন্দ্রশেখর,Chondroshekhor
814,হয়রানিকে,Hoyranike
815,কারশেডে,Karshede
816,পেপারলেস,Psperless
817,শিল্পকর্মই,Shilpokormoi
818,ঈশ্বরীয়,Divine
819,ভুমিকা,Introduction
820,আসলে—,Actually
821,বিদ্যালয়ে,At school
822,সাংবাদ,News
823,চাঁদনি,Moonlight
824,প্রতিভাশালী,talented
825,লুকিয়ানোভা,talented
826,খানবিলকর,khanbilkor
827,কত,koto
828,সিজন,season
829,উনতিরিশে,untirishe
830,অন্ধকারেই,ondhokarei
831,ছেলে,chele
832,গম্বুজের,gomvujer
833,তোদের,toder
834,প্রামাণিক,pramanik
835,সেজে,seje
836,কুড়নোর,kurnor
837,উত্তরপ্রেদেশের,Uttorprodesher
838,‌রাষ্ট্রীয়,Rashtriyo
839,ঢাকঢোল,Dhakdhol
840,বৃন্দাবনের,Brindaboner
841,হাসলেন,Hashlen
842,কর্মীরই,Kormiri
843,তরি,Tori
844,উবেই,Ubei
845,পাত্তর,Pattor
846,অনুতপ্ত,Onutopto
847,আসুক—,Ashuk
848,ওয়ার্কপের,Workpayer
849,ডবলডেকার,Double-decker
850,মুশকিলে,Mushkile
851,শুঁড়ে,Shure
852,পারফিউমের,Perfumer
853,২০০৬এ,2006 e
854,যুদ্ধে,Juddhe
855,বিকোবে,Bikobe
856,দেশদ্রোহের,Deshodroher
857,অ্যালেক্সি,Alexei
858,পর্যটনমন্ত্রীর,Porjotonmontrir
859,আরিফুল্লা,Arifullah
860,ধূ,Dhu
861,গাঢ়ত্বে,Garottwo
862,অজিতকেই,Ajitkei
863,চলত,Cholto
864,বিশ্বাসঘাতকতায়,Bishwashghatokotay
865,তারুণ্য,Tarunnyo
866,নিরাপত্তামন্ত্রী,Nirapottamontri
867,আধুলি,Adhuli
868,ফ্যানক্লাব,Fanclub
869,ডাকনামা,Daknama
870,এগুলির,Egulir
871,পাটকেই,Patkei
872,বিশ্বজয়ের,Bishyojoyer
873,দৌড়বীর,Dourbir
874,আনবাড়ি,Anbari
875,কামড়ের,Kamorer
